Choice,Composite,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach,OBC-PwD_close,Gen-PwD_close
38,89.6,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",411H,Electronics Engineering (VLSI Design and Technology),Y,No-data,,
39,89.5,NIT,211,"National Institute of Technology Karnataka, Surathkal",4146,Information Technology,Y,Out,,112
40,89.3,NIT,208,National Institute of Technology Durgapur,411F,B.Tech in Mathematics and Computing,Y,Borderline,430,
41,89.2,NIT,206,National Institute of Technology Calicut,4114,Electronics and Communication Engineering,Y,Out,170,252
42,89.0,NIT,220,"National Institute of Technology, Kurukshetra",4188,Artificial Intelligence and Data Science,Y,Out,,
43,89.0,NIT,220,"National Institute of Technology, Kurukshetra",410P,Artificial Intelligence and Machine Learning,Y,Out,161,321
44,89.0,IIIT,311,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4110,Computer Science and Engineering,Y,Reach,330,675
45,88.6,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4114,Electronics and Communication Engineering,Y,Out,200,457
46,88.3,IIIT,301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4110,Computer Science and Engineering,Y,Out,229,129
47,88.0,NIT,202,Malaviya National Institute of Technology Jaipur,4114,Electronics and Communication Engineering,Y,Out,90,
48,88.0,NIT,220,"National Institute of Technology, Kurukshetra",4124,Mathematics and Computing,Y,Out,269,487
49,87.7,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",410V,Electronics and VLSI Engineering,Y,Borderline,,1105
50,87.7,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4110,Computer Science and Engineering,Y,Out,208,458
51,87.7,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5216,Computer Science and Engineering,Y,Reach,313,688
52,87.4,NIT,223,"National Institute of Technology, Rourkela",4142,Electronics and Instrumentation Engineering,Y,Out,,
53,87.3,NIT,228,"National Institute of Technology, Warangal",4144,Electrical and Electronics Engineering,Y,Reach,356,623
54,87.3,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4114,Electronics and Communication Engineering,Y,Out,184,365
55,87.0,GFTI,422,"Punjab Engineering College, Chandigarh",4110,Computer Science and Engineering,Y,No-data,,
56,86.7,NIT,226,"National Institute of Technology, Tiruchirappalli",4144,Electrical and Electronics Engineering,Y,Out,,194
57,86.7,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4114,Electronics and Communication Engineering,Y,Borderline,439,668
58,86.3,NIT,228,"National Institute of Technology, Warangal",413O,Electrical and Electronics Engineering (Electric Mobility),Y,No-data,,
59,86.3,IIIT,315,Indian Institute of Information Technology Lucknow,4184,Computer Science,Y,Reach,362,346
60,86.3,IIIT,315,Indian Institute of Information Technology Lucknow,410C,Computer Science and Business,Y,Borderline,459,359
61,86.2,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4196,Computer Science and Engineering with Major in Artificial Intelligence,Y,Out,267,363
62,86.0,NIT,211,"National Institute of Technology Karnataka, Surathkal",4144,Electrical and Electronics Engineering,Y,Out,100,
63,85.7,IIIT,307,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",4110,Computer Science and Engineering,Y,SAFE,1224,1377
64,85.5,GFTI,422,"Punjab Engineering College, Chandigarh",4603,Computer Science Engineering (Artificial Intelligence),Y,No-data,,
65,85.5,GFTI,422,"Punjab Engineering College, Chandigarh",4604,Computer Science Engineering (Data Science),Y,No-data,,
66,85.4,NIT,223,"National Institute of Technology, Rourkela",4111,Electrical Engineering,Y,Out,261,478
67,85.3,NIT,208,National Institute of Technology Durgapur,4114,Electronics and Communication Engineering,Y,Out,,506
68,85.0,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4146,Information Technology,Y,Borderline,424,911
69,85.0,NIT,220,"National Institute of Technology, Kurukshetra",412B,Microelectronics & VLSI Engineering,Y,Out,,
70,85.0,NIT,207,National Institute of Technology Delhi,4110,Computer Science and Engineering,Y,Out,,
71,84.8,NIT,206,National Institute of Technology Calicut,4144,Electrical and Electronics Engineering,Y,Out,264,557
72,84.8,IIIT,315,Indian Institute of Information Technology Lucknow,4190,Computer Science and Artificial Intelligence,Y,Borderline,451,222
73,84.7,NIT,203,Maulana Azad National Institute of Technology Bhopal,4114,Electronics and Communication Engineering,Y,Reach,304,636
74,84.4,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410G,Computer Science Engineering (Human Computer lnteraction and Gaming Technology),Y,Good,610,1155
75,84.4,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,4110,Computer Science and Engineering,Y,Good,666,871
76,84.1,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4144,Electrical and Electronics Engineering,Y,Good,516,1033
77,84.0,NIT,220,"National Institute of Technology, Kurukshetra",4114,Electronics and Communication Engineering,Y,Out,183,167
78,84.0,NIT,220,"National Institute of Technology, Kurukshetra",5234,Electronics and Communication Engineering,Y,Out,,
79,83.8,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,4110,Computer Science and Engineering,Y,Good,578,737
80,83.5,NIT,202,Malaviya National Institute of Technology Jaipur,4111,Electrical Engineering,Y,Good,507,1057
81,83.5,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4153,Electronics and Telecommunication Engineering,Y,Good,685,1221
82,83.5,GFTI,422,"Punjab Engineering College, Chandigarh",4124,Mathematics and Computing,Y,No-data,,
83,83.4,NIT,219,"National Institute of Technology, Jamshedpur",4114,Electronics and Communication Engineering,Y,Borderline,390,
84,83.3,NIT,228,"National Institute of Technology, Warangal",4125,Mechanical Engineering,Y,Borderline,455,548
85,83.2,IIIT,307,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",4188,Artificial Intelligence and Data Science,Y,SAFE,1180,378
86,83.1,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4110,Computer Science and Engineering,Y,SAFE,1740,1829
87,83.1,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",410J,Computer Science and Engineering (Cyber Security),Y,No-data,,
88,83.0,NIT,220,"National Institute of Technology, Kurukshetra",4146,Information Technology,Y,Out,111,
89,82.9,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410E,Computer Science Engineering (Artificial lntelligence and Machine Learning),Y,No-data,,
90,82.9,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410F,Computer Science Engineering (Data Science and Analytics),Y,Good,679,932
91,82.8,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4111,Electrical Engineering,Y,Reach,361,630
92,82.8,NIT,224,"National Institute of Technology, Silchar",4114,Electronics and Communication Engineering,Y,Borderline,391,970
93,82.7,NIT,226,"National Institute of Technology, Tiruchirappalli",4125,Mechanical Engineering,Y,Out,222,393
94,82.5,NIT,207,National Institute of Technology Delhi,4188,Artificial Intelligence and Data Science,Y,Out,,375
95,82.5,NIT,214,National Institute of Technology Patna,4110,Computer Science and Engineering,Y,Out,227,589
96,82.5,NIT,214,National Institute of Technology Patna,520I,Computer Science and Engineering with Specialization in Cyber Security,-,Borderline,431,
97,82.2,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4111,Electrical Engineering,Y,Good,611,1287
98,82.1,IIIT,309,"Indian Institute of Information Technology, Allahabad",4114,Electronics and Communication Engineering,Y,Reach,288,524
99,82.1,IIIT,309,"Indian Institute of Information Technology, Allahabad",5234,Electronics and Communication Engineering,-,No-data,,
100,82.0,NIT,211,"National Institute of Technology Karnataka, Surathkal",4125,Mechanical Engineering,Y,Out,257,611
101,81.8,NIT,216,National Institute of Technology Raipur,4110,Computer Science and Engineering,Y,Out,187,439
102,81.7,NIT,226,"National Institute of Technology, Tiruchirappalli",4148,Instrumentation and Control Engineering,Y,Good,503,789
103,81.7,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",523T,B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems,Y,Good,,1371
104,81.5,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4111,Electrical Engineering,Y,SAFE,,2208
105,81.5,IIIT,311,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4114,Electronics and Communication Engineering,Y,Good,672,1101
106,81.4,NIT,223,"National Institute of Technology, Rourkela",4125,Mechanical Engineering,Y,Borderline,399,712
107,81.2,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,4188,Artificial Intelligence and Data Science,Y,No-data,,
108,81.2,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4110,Computer Science and Engineering,Y,Good,702,920
109,81.1,IIIT,309,"Indian Institute of Information Technology, Allahabad",5424,B. Tech. Information Technology-Business Informatics (IT- BIn) - Master of Business Administration (MBA),-,No-data,,
110,81.1,IIIT,309,"Indian Institute of Information Technology, Allahabad",4146,Information Technology,Y,Out,210,255
111,81.1,IIIT,309,"Indian Institute of Information Technology, Allahabad",5280,Information Technology,Y,No-data,,
112,81.1,IIIT,309,"Indian Institute of Information Technology, Allahabad",4186,Information Technology-Business Informatics,Y,Out,198,210
113,81.0,NIT,214,National Institute of Technology Patna,520H,Computer Science and Engineering with Specialization in Data Science,-,Out,,
114,80.8,NIT,206,National Institute of Technology Calicut,4125,Mechanical Engineering,Y,Borderline,428,800
115,80.8,NIT,208,National Institute of Technology Durgapur,4111,Electrical Engineering,Y,Good,675,1478
116,80.7,NIT,226,"National Institute of Technology, Tiruchirappalli",4145,Production Engineering,Y,Good,544,954
117,80.6,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4185,Artificial Intelligence,Y,SAFE,1143,704
118,80.5,GFTI,422,"Punjab Engineering College, Chandigarh",411H,Electronics Engineering (VLSI Design and Technology),Y,No-data,,
119,80.5,GFTI,421,University of Hyderabad,5314,Computer Science and Engineering,Y,No-data,,
120,80.2,NIT,203,Maulana Azad National Institute of Technology Bhopal,4111,Electrical Engineering,Y,Good,570,1175
121,80.2,NIT,203,Maulana Azad National Institute of Technology Bhopal,412X,Energy and Electrical Vehicle Engineering,-,Out,,
122,80.2,NIT,224,"National Institute of Technology, Silchar",4142,Electronics and Instrumentation Engineering,Y,Good,,1439
123,80.2,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",521Q,B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems,Y,SAFE,1165,2109
124,80.2,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4114,Electronics and Communication Engineering,Y,Good,494,874
125,80.1,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4125,Mechanical Engineering,Y,Good,487,978
126,80.0,NIT,214,National Institute of Technology Patna,4188,Artificial Intelligence and Data Science,Y,Out,,638
127,79.8,IIIT,302,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4110,Computer Science and Engineering,Y,SAFE,1201,1470
128,79.7,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),Y,No-data,,
129,79.6,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4124,Mathematics and Computing,Y,No-data,,
130,79.5,NIT,202,Malaviya National Institute of Technology Jaipur,4125,Mechanical Engineering,Y,Borderline,,1006
131,79.5,NIT,220,"National Institute of Technology, Kurukshetra",4111,Electrical Engineering,Y,Good,547,588
132,79.5,NIT,220,"National Institute of Technology, Kurukshetra",5217,Electrical Engineering,Y,Out,,373
133,79.5,GFTI,422,"Punjab Engineering College, Chandigarh",4114,Electronics and Communication Engineering,Y,No-data,,
134,79.4,NIT,223,"National Institute of Technology, Rourkela",5258,Ceramic Engineering and M.Tech Industrial Ceramic,-,Out,,
135,79.4,NIT,223,"National Institute of Technology, Rourkela",4155,Industrial Design,-,Out,,
136,79.3,NIT,228,"National Institute of Technology, Warangal",4107,Chemical Engineering,Y,Reach,,811
137,79.3,NIT,228,"National Institute of Technology, Warangal",5210,Chemical Engineering,Y,Out,,
138,79.2,NIT,203,Maulana Azad National Institute of Technology Bhopal,413N,Electrical Engineering with E Mobility,-,No-data,,
139,79.2,IIIT,316,Indian Institute of Information Technology(IIIT) Dharwad,4110,Computer Science and Engineering,Y,SAFE,1094,1314
140,79.0,NIT,214,National Institute of Technology Patna,520O,Mathematics and Computing Technology,-,Out,,
141,78.9,NIT,219,"National Institute of Technology, Jamshedpur",4111,Electrical Engineering,Y,Good,539,275
142,78.8,NIT,206,National Institute of Technology Calicut,4145,Production Engineering,Y,SAFE,1002,1704
143,78.8,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4125,Mechanical Engineering,Y,Borderline,403,854
144,78.7,NIT,226,"National Institute of Technology, Tiruchirappalli",4107,Chemical Engineering,Y,Out,,196
145,78.7,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",5511,Quantitative Economics & Data Science,Y,Out,,
146,78.5,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4110,Computer Science and Engineering,Y,Out,198,411
147,78.2,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4125,Mechanical Engineering,Y,SAFE,814,1278
148,78.2,NIT,224,"National Institute of Technology, Silchar",4111,Electrical Engineering,Y,Good,769,1698
149,78.2,IIIT,307,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",4114,Electronics and Communication Engineering,Y,SAFE,1248,1521
150,78.0,NIT,211,"National Institute of Technology Karnataka, Surathkal",4107,Chemical Engineering,Y,Good,495,336
151,77.9,NIT,231,"National Institute of Technology, Andhra Pradesh",4110,Computer Science and Engineering,Y,Out,218,432
152,77.8,IIIT,315,Indian Institute of Information Technology Lucknow,4146,Information Technology,Y,Out,236,364
153,77.7,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",5506,Mathematics and Computing,Y,SAFE,,2921
154,77.5,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4125,Mechanical Engineering,Y,SAFE,,3780
155,77.5,NIT,207,National Institute of Technology Delhi,4114,Electronics and Communication Engineering,Y,Out,,304
156,77.4,NIT,223,"National Institute of Technology, Rourkela",4107,Chemical Engineering,Y,Reach,,788
157,77.4,NIT,223,"National Institute of Technology, Rourkela",5210,Chemical Engineering,-,No-data,,
158,77.3,IIIT,302,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",411G,Artificial Intelligence and Data Engineering,Y,SAFE,1138,1984
159,77.2,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,413X,Microelectronics and VLSI Design,Y,No-data,,
160,77.2,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,4110,Computer Science and Engineering,Y,SAFE,1262,2375
161,77.2,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,4195,Computer Science and Engineering with specialization in Cyber Security,Y,SAFE,983,609
162,76.9,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,4114,Electronics and Communication Engineering,Y,SAFE,1458,1720
163,76.9,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410H,Electronics and Communication Engineering (Internet of Things),Y,SAFE,1046,2209
164,76.8,NIT,228,"National Institute of Technology, Warangal",4109,Civil Engineering,Y,Out,,531
165,76.8,NIT,206,National Institute of Technology Calicut,4107,Chemical Engineering,Y,Good,573,1016
166,76.8,NIT,208,National Institute of Technology Durgapur,4125,Mechanical Engineering,Y,SAFE,961,1964
167,76.7,IIIT,316,Indian Institute of Information Technology(IIIT) Dharwad,413T,Artificial Intelligence and Computing,Y,No-data,,
168,76.7,IIIT,316,Indian Institute of Information Technology(IIIT) Dharwad,4181,Data Science and Artificial Intelligence,Y,SAFE,1555,2128
169,76.6,IIIT,314,Indian Institute of Information Technology Tiruchirappalli,4110,Computer Science and Engineering,Y,Good,657,973
170,76.5,NIT,214,National Institute of Technology Patna,520J,Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design,-,Good,655,
171,76.3,IIIT,301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4144,Electrical and Electronics Engineering,Y,Good,639,748
172,76.2,NIT,226,"National Institute of Technology, Tiruchirappalli",4109,Civil Engineering,Y,Out,270,575
173,76.2,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",410B,Industrial Chemistry,Y,SAFE,1113,3431
174,76.2,NIT,203,Maulana Azad National Institute of Technology Bhopal,4125,Mechanical Engineering,Y,SAFE,839,1945
175,76.2,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,4114,Electronics and Communication Engineering,Y,Good,728,1575
176,76.1,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4107,Chemical Engineering,Y,SAFE,1179,1550
177,76.1,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",413Y,Chemical Technology (Bioprocess Technology),Y,No-data,,
178,76.0,NIT,214,National Institute of Technology Patna,411H,Electronics Engineering (VLSI Design and Technology),Y,SAFE,1151,1449
179,76.0,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4185,Artificial Intelligence,Y,No-data,,
180,76.0,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4187,Data Science and Engineering,Y,Reach,310,703
181,76.0,NIT,210,National Institute of Technology Hamirpur,4110,Computer Science and Engineering,Y,Out,246,616
182,76.0,NIT,210,National Institute of Technology Hamirpur,5216,Computer Science and Engineering,Y,Reach,,669
183,75.8,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,410R,Computer Science and Engineering with specialization in Artificial Intelligence and Data Science,Y,SAFE,994,872
184,75.6,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4114,Electronics and Communication Engineering,Y,SAFE,1499,2985
185,75.5,NIT,211,"National Institute of Technology Karnataka, Surathkal",4109,Civil Engineering,Y,Reach,368,776
186,75.5,NIT,202,Malaviya National Institute of Technology Jaipur,4107,Chemical Engineering,Y,SAFE,840,1075
187,75.5,NIT,220,"National Institute of Technology, Kurukshetra",4125,Mechanical Engineering,Y,SAFE,865,
188,75.5,NIT,220,"National Institute of Technology, Kurukshetra",5233,Mechanical Engineering,Y,SAFE,,1990
189,75.3,NIT,215,National Institute of Technology Puducherry,4110,Computer Science and Engineering,Y,Out,104,472
190,75.1,IIIT,314,Indian Institute of Information Technology Tiruchirappalli,412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),Y,Reach,357,743
191,75.0,GFTI,422,"Punjab Engineering College, Chandigarh",4111,Electrical Engineering,Y,No-data,,
192,75.0,NIT,214,National Institute of Technology Patna,4114,Electronics and Communication Engineering,Y,Good,751,755
193,75.0,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4124,Mathematics and Computing,Y,Reach,,828
194,74.9,NIT,223,"National Institute of Technology, Rourkela",4109,Civil Engineering,Y,Borderline,427,641
195,74.9,NIT,219,"National Institute of Technology, Jamshedpur",4125,Mechanical Engineering,Y,SAFE,1415,1148
196,74.8,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4107,Chemical Engineering,Y,Good,750,899
197,74.7,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4110,Computer Science and Engineering,Y,Good,535,1103
198,74.7,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",5216,Computer Science and Engineering,-,Good,546,618
199,74.6,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4146,Information Technology,Y,SAFE,1688,1853
200,74.3,NIT,228,"National Institute of Technology, Warangal",4127,Metallurgical and Materials Engineering,Y,Borderline,,1125
201,74.3,NIT,228,"National Institute of Technology, Warangal",5243,Metallurgical and Materials Engineering,-,Out,,
202,74.3,NIT,216,National Institute of Technology Raipur,4114,Electronics and Communication Engineering,Y,Reach,282,699
203,74.2,NIT,206,National Institute of Technology Calicut,4109,Civil Engineering,Y,Borderline,434,801
204,74.2,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4107,Chemical Engineering,Y,SAFE,1395,1501
205,74.2,NIT,224,"National Institute of Technology, Silchar",4125,Mechanical Engineering,Y,SAFE,1335,1298
206,74.0,IIIT,303,Indian Institute of Information Technology Guwahati,4110,Computer Science and Engineering,Y,SAFE,863,1671
207,73.8,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,411F,B.Tech in Mathematics and Computing,Y,No-data,,
208,73.7,NIT,226,"National Institute of Technology, Tiruchirappalli",4127,Metallurgical and Materials Engineering,Y,Reach,,797
209,73.7,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4114,Electronics and Communication Engineering,Y,SAFE,1523,2820
210,73.6,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4109,Civil Engineering,Y,SAFE,1047,1172
211,73.5,NIT,220,"National Institute of Technology, Kurukshetra",411C,Industrial Internet of Things,Y,Good,655,1520
212,73.5,NIT,220,"National Institute of Technology, Kurukshetra",4136,Production and Industrial Engineering,Y,SAFE,,2564
213,73.4,NIT,223,"National Institute of Technology, Rourkela",4106,Ceramic Engineering,Y,SAFE,,2228
214,73.4,NIT,223,"National Institute of Technology, Rourkela",4169,Food Process Engineering,-,Out,,
215,73.4,NIT,223,"National Institute of Technology, Rourkela",5509,Life Science,-,Out,,
216,73.3,NIT,216,National Institute of Technology Raipur,4146,Information Technology,Y,Reach,,727
217,73.3,GFTI,423,"Jawaharlal Nehru University, Delhi",4110,Computer Science and Engineering,Y,Good,746,898
218,73.0,NIT,211,"National Institute of Technology Karnataka, Surathkal",4127,Metallurgical and Materials Engineering,Y,Good,531,1241
219,73.0,NIT,202,Malaviya National Institute of Technology Jaipur,4109,Civil Engineering,Y,Reach,,832
220,73.0,IIIT,311,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4125,Mechanical Engineering,Y,SAFE,1379,2071
221,73.0,NIT,207,National Institute of Technology Delhi,4111,Electrical Engineering,Y,Borderline,431,598
222,72.9,NIT,219,"National Institute of Technology, Jamshedpur",4136,Production and Industrial Engineering,Y,SAFE,,2482
223,72.8,NIT,206,National Institute of Technology Calicut,5A09,B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing),Y,No-data,,
224,72.8,NIT,206,National Institute of Technology Calicut,4198,Energy Engineering,Y,Good,630,1146
225,72.8,NIT,208,National Institute of Technology Durgapur,4107,Chemical Engineering,Y,SAFE,936,1949
226,72.8,NIT,208,National Institute of Technology Durgapur,5257,Chemical Engineering,-,Out,,
227,72.7,NIT,226,"National Institute of Technology, Tiruchirappalli",5101,Architecture,Y,Out,66,
228,72.5,NIT,210,National Institute of Technology Hamirpur,4124,Mathematics and Computing,Y,Borderline,443,664
229,72.4,NIT,223,"National Institute of Technology, Rourkela",4127,Metallurgical and Materials Engineering,Y,Good,641,1439
230,72.4,NIT,223,"National Institute of Technology, Rourkela",5243,Metallurgical and Materials Engineering,-,Out,,
231,72.3,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4109,Civil Engineering,Y,Reach,,736
232,72.3,IIIT,302,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4114,Electronics and Communication Engineering,Y,SAFE,1499,2383
233,72.2,NIT,203,Maulana Azad National Institute of Technology Bhopal,4107,Chemical Engineering,Y,SAFE,1403,827
234,72.2,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4188,Artificial Intelligence and Data Science,Y,Borderline,412,656
