Choice,Composite,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach,Note
58,86.5,IIIT,311,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4110,Computer Science and Engineering,Y,Reach,
59,86.45,NIT,228,"National Institute of Technology, Warangal",4125,Mechanical Engineering,Y,Borderline,
60,85.9,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4144,Electrical and Electronics Engineering,Y,Good,
61,85.75,NIT,208,National Institute of Technology Durgapur,4114,Electronics and Communication Engineering,Y,Out,
62,85.75,IIIT,301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4110,Computer Science and Engineering,Y,Out,
63,85.7,NIT,226,"National Institute of Technology, Tiruchirappalli",4125,Mechanical Engineering,Y,Out,
64,85.7,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4146,Information Technology,Y,Borderline,
65,85.15,NIT,202,Malaviya National Institute of Technology Jaipur,4111,Electrical Engineering,Y,Good,
66,85.05,NIT,220,"National Institute of Technology, Kurukshetra",412B,Microelectronics & VLSI Engineering,Y,Out,
67,85.0,NIT,203,Maulana Azad National Institute of Technology Bhopal,4114,Electronics and Communication Engineering,Y,Reach,
68,85.0,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4110,Computer Science and Engineering,Y,Out,
69,85.0,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5216,Computer Science and Engineering,Y,Reach,
70,84.95,NIT,211,"National Institute of Technology Karnataka, Surathkal",4125,Mechanical Engineering,Y,Out,
71,84.9,NIT,226,"National Institute of Technology, Tiruchirappalli",4148,Instrumentation and Control Engineering,Y,Good,
72,84.5,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4153,Electronics and Telecommunication Engineering,Y,Good,
73,84.4,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4111,Electrical Engineering,Y,Reach,
74,84.25,NIT,220,"National Institute of Technology, Kurukshetra",4114,Electronics and Communication Engineering,Y,Out,
75,84.25,NIT,220,"National Institute of Technology, Kurukshetra",5234,Electronics and Communication Engineering,Y,Out,
