Choice,Type,InstCode,Institute,BranchCode,Branch,PwDseat,HisQuota,Reach,OBC-PwD_close,Gen-PwD_close
62,NIT,223,"National Institute of Technology, Rourkela",4104,Bio Technology,Y,OS,Good,,1531
63,NIT,206,National Institute of Technology Calicut,4110,Computer Science and Engineering,Y,OS,Out,98,134
64,NIT,206,National Institute of Technology Calicut,4114,Electronics and Communication Engineering,Y,OS,Out,170,252
65,NIT,206,National Institute of Technology Calicut,4144,Electrical and Electronics Engineering,Y,OS,Out,264,557
66,NIT,206,National Institute of Technology Calicut,4125,Mechanical Engineering,Y,OS,Borderline,428,800
67,NIT,206,National Institute of Technology Calicut,4145,Production Engineering,Y,OS,SAFE,1002,1704
68,NIT,206,National Institute of Technology Calicut,4107,Chemical Engineering,Y,OS,Good,573,1016
69,NIT,206,National Institute of Technology Calicut,4109,Civil Engineering,Y,OS,Borderline,434,801
70,NIT,206,National Institute of Technology Calicut,4123,Materials Science and Engineering,Y,OS,Good,,1433
71,NIT,206,National Institute of Technology Calicut,5101,Architecture,Y,OS,Out,29,98
72,NIT,206,National Institute of Technology Calicut,5A09,B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing),Y,OS,No-data,,
73,NIT,206,National Institute of Technology Calicut,4198,Energy Engineering,Y,OS,Good,630,1146
74,NIT,206,National Institute of Technology Calicut,4117,Engineering Physics,Y,OS,Good,,1671
75,NIT,206,National Institute of Technology Calicut,4104,Bio Technology,Y,OS,Reach,355,266
76,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4110,Computer Science and Engineering,Y,OS,Out,122,281
77,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",413Z,Computer Science and Engineering (Artificial Intelligence and Data Science),Y,OS,No-data,,
78,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4124,Mathematics and Computing,-,OS,No-data,,
79,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4114,Electronics and Communication Engineering,Y,OS,Out,200,457
80,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",411H,Electronics Engineering (VLSI Design and Technology),Y,OS,No-data,,
81,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4144,Electrical and Electronics Engineering,Y,OS,Good,516,1033
82,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4125,Mechanical Engineering,Y,OS,Good,487,978
83,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4107,Chemical Engineering,Y,OS,SAFE,1179,1550
