Choice,Type,InstCode,Institute,BranchCode,Branch,PwDseat,HisQuota,Reach,OBC-PwD_close,Gen-PwD_close
243,IIIT,307,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",4114,Electronics and Communication Engineering,Y,AI,SAFE,1248,1521
244,NIT,207,National Institute of Technology Delhi,4110,Computer Science and Engineering,Y,OS,Out,,
245,NIT,207,National Institute of Technology Delhi,4188,Artificial Intelligence and Data Science,Y,OS,Out,,375
246,NIT,207,National Institute of Technology Delhi,4114,Electronics and Communication Engineering,Y,OS,Out,,304
247,NIT,207,National Institute of Technology Delhi,4111,Electrical Engineering,Y,OS,Borderline,431,598
248,NIT,207,National Institute of Technology Delhi,4125,Mechanical Engineering,Y,OS,Borderline,,1044
249,NIT,207,National Institute of Technology Delhi,4109,Civil Engineering,-,OS,Good,518,791
250,NIT,207,National Institute of Technology Delhi,4101,Aerospace Engineering,-,OS,Out,,
251,NIT,207,National Institute of Technology Delhi,411Z,VLSI Design and Technology,Y,OS,Out,,
252,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410G,Computer Science Engineering (Human Computer lnteraction and Gaming Technology),Y,AI,Good,610,1155
253,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,4110,Computer Science and Engineering,Y,AI,Good,666,871
254,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410E,Computer Science Engineering (Artificial lntelligence and Machine Learning),Y,AI,No-data,,
255,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410F,Computer Science Engineering (Data Science and Analytics),Y,AI,Good,679,932
256,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,4114,Electronics and Communication Engineering,Y,AI,SAFE,1458,1720
257,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410H,Electronics and Communication Engineering (Internet of Things),Y,AI,SAFE,1046,2209
258,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,4110,Computer Science and Engineering,Y,AI,Good,578,737
259,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,4188,Artificial Intelligence and Data Science,Y,AI,No-data,,
260,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,4114,Electronics and Communication Engineering,Y,AI,Good,728,1575
261,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,413X,Microelectronics and VLSI Design,Y,AI,No-data,,
262,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,413W,Cyber Security,Y,AI,No-data,,
263,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4110,Computer Science and Engineering,Y,AI,SAFE,1740,1829
264,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",410J,Computer Science and Engineering (Cyber Security),Y,AI,No-data,,
265,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4185,Artificial Intelligence,Y,AI,SAFE,1143,704
266,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4124,Mathematics and Computing,Y,AI,No-data,,
267,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4114,Electronics and Communication Engineering,Y,AI,SAFE,1499,2985
268,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4146,Information Technology,Y,AI,SAFE,1688,1853
269,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",413U,Applied and Computational Physics,Y,AI,No-data,,
270,NIT,214,National Institute of Technology Patna,4110,Computer Science and Engineering,Y,OS,Out,227,589
271,NIT,214,National Institute of Technology Patna,520I,Computer Science and Engineering with Specialization in Cyber Security,-,OS,Borderline,431,
272,NIT,214,National Institute of Technology Patna,520H,Computer Science and Engineering with Specialization in Data Science,-,OS,Out,,
273,NIT,214,National Institute of Technology Patna,4188,Artificial Intelligence and Data Science,Y,OS,Out,,638
274,NIT,214,National Institute of Technology Patna,520O,Mathematics and Computing Technology,-,OS,Out,,
275,NIT,214,National Institute of Technology Patna,520J,Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design,-,OS,Good,655,
276,NIT,214,National Institute of Technology Patna,4114,Electronics and Communication Engineering,Y,OS,Good,751,755
277,NIT,214,National Institute of Technology Patna,411H,Electronics Engineering (VLSI Design and Technology),Y,OS,SAFE,1151,1449
278,NIT,214,National Institute of Technology Patna,4111,Electrical Engineering,Y,OS,SAFE,937,1695
279,NIT,214,National Institute of Technology Patna,520K,Electrical Engineering with Specialization In Power System Engineering,-,OS,Out,,
280,NIT,214,National Institute of Technology Patna,4125,Mechanical Engineering,Y,OS,SAFE,920,1996
281,NIT,214,National Institute of Technology Patna,520L,Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering,-,OS,Good,,1563
282,NIT,214,National Institute of Technology Patna,521R,Chemical Technology,-,OS,SAFE,1443,3410
283,NIT,214,National Institute of Technology Patna,4109,Civil Engineering,Y,OS,SAFE,1185,1346
284,NIT,214,National Institute of Technology Patna,520M,Civil Engineering with Specialization in Construction Technology and Management,-,OS,Out,,
285,NIT,214,National Institute of Technology Patna,520N,Material Science and Engineering,-,OS,Out,,
286,NIT,214,National Institute of Technology Patna,5101,Architecture,Y,OS,Out,,
287,NIT,214,National Institute of Technology Patna,411B,Mechatronics and Automation Engineering,-,OS,Out,,
288,NIT,216,National Institute of Technology Raipur,4110,Computer Science and Engineering,Y,OS,Out,187,439
289,NIT,216,National Institute of Technology Raipur,4114,Electronics and Communication Engineering,Y,OS,Reach,282,699
290,NIT,216,National Institute of Technology Raipur,4111,Electrical Engineering,Y,OS,Borderline,,984
291,NIT,216,National Institute of Technology Raipur,4146,Information Technology,Y,OS,Reach,,727
292,NIT,216,National Institute of Technology Raipur,4125,Mechanical Engineering,Y,OS,Borderline,,1020
293,NIT,216,National Institute of Technology Raipur,4107,Chemical Engineering,Y,OS,SAFE,1070,1797
294,NIT,216,National Institute of Technology Raipur,4109,Civil Engineering,Y,OS,SAFE,962,1855
295,NIT,216,National Institute of Technology Raipur,4127,Metallurgical and Materials Engineering,Y,OS,SAFE,,1982
296,NIT,216,National Institute of Technology Raipur,5101,Architecture,Y,OS,Out,,
297,NIT,216,National Institute of Technology Raipur,4130,Mining Engineering,-,OS,Out,,
298,NIT,216,National Institute of Technology Raipur,4152,Bio Medical Engineering,Y,OS,SAFE,993,2035
299,NIT,216,National Institute of Technology Raipur,4104,Bio Technology,Y,OS,Out,,
300,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4110,Computer Science and Engineering,Y,AI,Good,702,920
301,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),Y,AI,No-data,,
302,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",5511,Quantitative Economics & Data Science,Y,AI,Out,,
303,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",5506,Mathematics and Computing,Y,AI,SAFE,,2921
304,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4114,Electronics and Communication Engineering,Y,AI,SAFE,1523,2820
305,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4144,Electrical and Electronics Engineering,Y,AI,SAFE,1738,4034
306,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4125,Mechanical Engineering,Y,AI,SAFE,1674,4034
307,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4136,Production and Industrial Engineering,Y,AI,SAFE,1735,4034
308,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4107,Chemical Engineering,Y,AI,SAFE,1709,3978
309,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4109,Civil Engineering,Y,AI,SAFE,1738,2159
310,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4167,Food Engineering  and Technology,Y,AI,SAFE,,3005
311,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",5507,Physics,Y,AI,Out,,
312,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4104,Bio Technology,Y,AI,SAFE,,3137
313,GFTI,421,University of Hyderabad,5314,Computer Science and Engineering,Y,AI,No-data,,
314,GFTI,421,University of Hyderabad,5313,Materials Engineering,Y,AI,SAFE,1263,1455
315,IIIT,302,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4110,Computer Science and Engineering,Y,AI,SAFE,1201,1470
316,IIIT,302,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",411G,Artificial Intelligence and Data Engineering,Y,AI,SAFE,1138,1984
317,IIIT,302,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4114,Electronics and Communication Engineering,Y,AI,SAFE,1499,2383
318,IIIT,316,Indian Institute of Information Technology(IIIT) Dharwad,4110,Computer Science and Engineering,Y,AI,SAFE,1094,1314
319,IIIT,316,Indian Institute of Information Technology(IIIT) Dharwad,413T,Artificial Intelligence and Computing,Y,AI,No-data,,
320,IIIT,316,Indian Institute of Information Technology(IIIT) Dharwad,4181,Data Science and Artificial Intelligence,Y,AI,SAFE,1555,2128
321,IIIT,316,Indian Institute of Information Technology(IIIT) Dharwad,4114,Electronics and Communication Engineering,Y,AI,SAFE,1092,2369
322,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4110,Computer Science and Engineering,Y,OS,Out,198,411
323,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4185,Artificial Intelligence,Y,OS,No-data,,
324,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4187,Data Science and Engineering,Y,OS,Reach,310,703
325,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4124,Mathematics and Computing,Y,OS,Reach,,828
326,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4114,Electronics and Communication Engineering,Y,OS,Reach,373,852
327,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",410V,Electronics and VLSI Engineering,Y,OS,Good,632,1184
328,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4111,Electrical Engineering,Y,OS,Good,,1140
329,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4146,Information Technology,Y,OS,Reach,340,505
330,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4125,Mechanical Engineering,Y,OS,SAFE,1751,1217
331,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4149,Industrial and Production Engineering,Y,OS,SAFE,,3491
332,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4107,Chemical Engineering,Y,OS,SAFE,1068,1897
333,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4109,Civil Engineering,-,OS,Borderline,,1098
334,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4148,Instrumentation and Control Engineering,Y,OS,SAFE,1486,1050
335,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4139,Textile Technology,Y,OS,SAFE,1294,3284
336,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4104,Bio Technology,Y,OS,Good,593,
337,NIT,231,"National Institute of Technology, Andhra Pradesh",4110,Computer Science and Engineering,Y,OS,Out,218,432
338,NIT,231,"National Institute of Technology, Andhra Pradesh",4114,Electronics and Communication Engineering,Y,OS,Good,596,615
339,NIT,231,"National Institute of Technology, Andhra Pradesh",4144,Electrical and Electronics Engineering,Y,OS,Good,646,965
340,NIT,231,"National Institute of Technology, Andhra Pradesh",4125,Mechanical Engineering,Y,OS,SAFE,806,
341,NIT,231,"National Institute of Technology, Andhra Pradesh",4107,Chemical Engineering,Y,OS,SAFE,,2547
342,NIT,231,"National Institute of Technology, Andhra Pradesh",4109,Civil Engineering,Y,OS,Good,684,1597
343,NIT,231,"National Institute of Technology, Andhra Pradesh",4127,Metallurgical and Materials Engineering,Y,OS,Out,,
344,NIT,231,"National Institute of Technology, Andhra Pradesh",4104,Bio Technology,Y,OS,Good,698,
345,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,4110,Computer Science and Engineering,Y,AI,SAFE,1262,2375
346,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,4195,Computer Science and Engineering with specialization in Cyber Security,Y,AI,SAFE,983,609
347,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,410R,Computer Science and Engineering with specialization in Artificial Intelligence and Data Science,Y,AI,SAFE,994,872
348,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,411F,B.Tech in Mathematics and Computing,Y,AI,No-data,,
349,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,4114,Electronics and Communication Engineering,Y,AI,SAFE,1296,2339
350,IIIT,314,Indian Institute of Information Technology Tiruchirappalli,4110,Computer Science and Engineering,Y,AI,Good,657,973
351,IIIT,314,Indian Institute of Information Technology Tiruchirappalli,412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),Y,AI,Reach,357,743
352,IIIT,314,Indian Institute of Information Technology Tiruchirappalli,413G,Electronics and Communication Engineering (VLSI Design),Y,AI,Borderline,406,
353,IIIT,314,Indian Institute of Information Technology Tiruchirappalli,4114,Electronics and Communication Engineering,Y,AI,SAFE,1104,1392
354,NIT,210,National Institute of Technology Hamirpur,4110,Computer Science and Engineering,Y,OS,Out,246,616
355,NIT,210,National Institute of Technology Hamirpur,5216,Computer Science and Engineering,Y,OS,Reach,,669
356,NIT,210,National Institute of Technology Hamirpur,4124,Mathematics and Computing,Y,OS,Borderline,443,664
357,NIT,210,National Institute of Technology Hamirpur,4114,Electronics and Communication Engineering,Y,OS,Good,671,843
358,NIT,210,National Institute of Technology Hamirpur,5234,Electronics and Communication Engineering,Y,OS,Borderline,,1035
359,NIT,210,National Institute of Technology Hamirpur,4111,Electrical Engineering,Y,OS,SAFE,1274,1734
360,NIT,210,National Institute of Technology Hamirpur,4125,Mechanical Engineering,Y,OS,SAFE,1784,2070
361,NIT,210,National Institute of Technology Hamirpur,4107,Chemical Engineering,Y,OS,SAFE,1796,2083
362,NIT,210,National Institute of Technology Hamirpur,4109,Civil Engineering,Y,OS,SAFE,1398,3228
363,NIT,210,National Institute of Technology Hamirpur,4123,Materials Science and Engineering,Y,OS,SAFE,1778,2849
364,NIT,210,National Institute of Technology Hamirpur,5101,Architecture,Y,OS,Out,,
365,NIT,210,National Institute of Technology Hamirpur,4117,Engineering Physics,Y,OS,SAFE,1646,3298
366,NIT,215,National Institute of Technology Puducherry,4110,Computer Science and Engineering,Y,OS,Out,104,472
367,NIT,215,National Institute of Technology Puducherry,4114,Electronics and Communication Engineering,Y,OS,Reach,311,674
368,NIT,215,National Institute of Technology Puducherry,4144,Electrical and Electronics Engineering,Y,OS,Borderline,,1111
369,NIT,215,National Institute of Technology Puducherry,4125,Mechanical Engineering,Y,OS,SAFE,778,2209
370,NIT,215,National Institute of Technology Puducherry,4109,Civil Engineering,Y,OS,Reach,,919
371,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4110,Computer Science and Engineering,Y,AI,Good,535,1103
372,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",5216,Computer Science and Engineering,-,AI,Good,546,618
373,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4188,Artificial Intelligence and Data Science,Y,AI,Borderline,412,656
374,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",523U,Artificial Intelligence and Data Science,-,AI,No-data,,
375,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",5234,Electronics and Communication Engineering,-,AI,SAFE,803,2076
376,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4174,Electronics and Communication Engineering with specialization in Design and Manufacturing,Y,AI,Good,574,1195
377,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",5233,Mechanical Engineering,-,AI,SAFE,1086,2504
378,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4175,Mechanical Engineering with specialization in Design and Manufacturing,Y,AI,SAFE,1477,1828
379,IIIT,303,Indian Institute of Information Technology Guwahati,4110,Computer Science and Engineering,Y,AI,SAFE,863,1671
380,IIIT,303,Indian Institute of Information Technology Guwahati,413V,Electronics Communication and Artificial Intelligence,Y,AI,No-data,,
381,IIIT,303,Indian Institute of Information Technology Guwahati,4114,Electronics and Communication Engineering,Y,AI,SAFE,1120,2042
382,GFTI,423,"Jawaharlal Nehru University, Delhi",4110,Computer Science and Engineering,Y,AI,Good,746,898
383,GFTI,423,"Jawaharlal Nehru University, Delhi",4114,Electronics and Communication Engineering,Y,AI,SAFE,880,1822
384,GFTI,405,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",4111,Electrical Engineering,Y,AI,SAFE,1739,3225
385,GFTI,405,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",4125,Mechanical Engineering,Y,AI,SAFE,,3913
386,GFTI,405,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",4109,Civil Engineering,Y,AI,SAFE,1425,3336
387,GFTI,405,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",4151,Computer Engineering,Y,AI,SAFE,977,2296
388,GFTI,420,"International Institute of Information Technology, Naya Raipur",4110,Computer Science and Engineering,Y,AI,SAFE,1042,1051
389,GFTI,420,"International Institute of Information Technology, Naya Raipur",4181,Data Science and Artificial Intelligence,Y,AI,Reach,,832
390,GFTI,420,"International Institute of Information Technology, Naya Raipur",4114,Electronics and Communication Engineering,-,AI,SAFE,981,1784
391,GFTI,424,"International Institute of Information Technology, Bhubaneswar",4110,Computer Science and Engineering,Y,AI,Good,741,1638
392,GFTI,424,"International Institute of Information Technology, Bhubaneswar",4153,Electronics and Telecommunication Engineering,Y,AI,SAFE,,2301
393,GFTI,424,"International Institute of Information Technology, Bhubaneswar",4144,Electrical and Electronics Engineering,Y,AI,SAFE,,2390
394,GFTI,424,"International Institute of Information Technology, Bhubaneswar",4146,Information Technology,Y,AI,Good,,1876
395,IIIT,326,"Indian institute of information technology, Raichur, Karnataka",4110,Computer Science and Engineering,Y,AI,Good,692,1218
396,IIIT,326,"Indian institute of information technology, Raichur, Karnataka",4188,Artificial Intelligence and Data Science,Y,AI,Good,568,945
397,IIIT,326,"Indian institute of information technology, Raichur, Karnataka",4124,Mathematics and Computing,Y,AI,SAFE,1504,2601
398,IIIT,304,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",4110,Computer Science and Engineering,Y,AI,SAFE,1537,1223
399,IIIT,304,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",410J,Computer Science and Engineering (Cyber Security),-,AI,Out,,
400,IIIT,304,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),-,AI,Out,,
401,IIIT,304,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",4114,Electronics and Communication Engineering,Y,AI,SAFE,1709,2348
402,IIIT,319,Indian Institute of Information Technology (IIIT) Ranchi,4110,Computer Science and Engineering,Y,AI,SAFE,1566,2002
403,IIIT,319,Indian Institute of Information Technology (IIIT) Ranchi,4602,Computer Science and Engineering (with Specialization of Data Science and Artificial Intelligence),Y,AI,SAFE,,2027
404,IIIT,319,Indian Institute of Information Technology (IIIT) Ranchi,411F,B.Tech in Mathematics and Computing,Y,AI,SAFE,,3723
405,IIIT,319,Indian Institute of Information Technology (IIIT) Ranchi,4114,Electronics and Communication Engineering,Y,AI,SAFE,1566,2884
406,IIIT,319,Indian Institute of Information Technology (IIIT) Ranchi,4601,Electronics and Communication Engineering (with Specialization of Embedded Systems and Internet of Things),Y,AI,SAFE,1740,2803
407,IIIT,323,Indian Institute of Information Technology Bhopal,4110,Computer Science and Engineering,Y,AI,SAFE,825,1625
408,IIIT,323,Indian Institute of Information Technology Bhopal,411Y,Computer Science and Engineering (Cyber Physical System),Y,AI,SAFE,1551,1692
409,IIIT,323,Indian Institute of Information Technology Bhopal,410J,Computer Science and Engineering (Cyber Security),Y,AI,SAFE,1649,1450
410,IIIT,323,Indian Institute of Information Technology Bhopal,412G,Computer Science and Engineering (Artificial Intelligence),Y,AI,SAFE,1590,1081
411,IIIT,323,Indian Institute of Information Technology Bhopal,412E,Computer Science and Engineering (Data Science),Y,AI,Good,754,1102
412,IIIT,323,Indian Institute of Information Technology Bhopal,411F,B.Tech in Mathematics and Computing,Y,AI,SAFE,1773,4161
413,IIIT,323,Indian Institute of Information Technology Bhopal,4114,Electronics and Communication Engineering,Y,AI,SAFE,1674,2292
414,IIIT,323,Indian Institute of Information Technology Bhopal,4146,Information Technology,Y,AI,SAFE,1290,1985
415,IIIT,323,Indian Institute of Information Technology Bhopal,413D,Physics and Computational Engineering,Y,AI,SAFE,,3258
416,NIT,209,National Institute of Technology Goa,4110,Computer Science and Engineering,Y,OS,Out,,
417,NIT,209,National Institute of Technology Goa,4114,Electronics and Communication Engineering,-,OS,Reach,,901
418,NIT,209,National Institute of Technology Goa,4144,Electrical and Electronics Engineering,Y,OS,Good,716,1128
419,NIT,209,National Institute of Technology Goa,4125,Mechanical Engineering,Y,OS,SAFE,1061,
420,NIT,209,National Institute of Technology Goa,4109,Civil Engineering,Y,OS,Good,,1603
421,NIT,227,"National Institute of Technology, Uttarakhand",4110,Computer Science and Engineering,Y,OS,Out,227,605
422,NIT,227,"National Institute of Technology, Uttarakhand",4114,Electronics and Communication Engineering,Y,OS,SAFE,1026,1894
423,NIT,227,"National Institute of Technology, Uttarakhand",4144,Electrical and Electronics Engineering,-,OS,Out,,
424,NIT,227,"National Institute of Technology, Uttarakhand",4125,Mechanical Engineering,-,OS,Out,,
425,NIT,227,"National Institute of Technology, Uttarakhand",4109,Civil Engineering,-,OS,Good,,1429
426,GFTI,453,Central University of Karnataka,410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),Y,AI,No-data,,
427,GFTI,453,Central University of Karnataka,4124,Mathematics and Computing,Y,AI,No-data,,
428,GFTI,453,Central University of Karnataka,4114,Electronics and Communication Engineering,Y,AI,No-data,,
429,GFTI,453,Central University of Karnataka,4111,Electrical Engineering,Y,AI,No-data,,
430,NIT,205,National Institute of Technology Agartala,4110,Computer Science and Engineering,Y,OS,Borderline,441,673
431,NIT,205,National Institute of Technology Agartala,4114,Electronics and Communication Engineering,Y,OS,Good,689,1584
432,NIT,205,National Institute of Technology Agartala,4142,Electronics and Instrumentation Engineering,Y,OS,SAFE,,2475
433,NIT,205,National Institute of Technology Agartala,4111,Electrical Engineering,Y,OS,SAFE,1528,2121
434,NIT,205,National Institute of Technology Agartala,4125,Mechanical Engineering,Y,OS,SAFE,1514,3534
435,NIT,205,National Institute of Technology Agartala,4145,Production Engineering,Y,OS,SAFE,1318,
436,NIT,205,National Institute of Technology Agartala,4105,Biotechnology and Biochemical Engineering,-,OS,SAFE,1317,4279
437,NIT,205,National Institute of Technology Agartala,4107,Chemical Engineering,Y,OS,SAFE,1514,3491
438,NIT,205,National Institute of Technology Agartala,4109,Civil Engineering,Y,OS,SAFE,1646,3107
439,NIT,205,National Institute of Technology Agartala,5606,Mathematics & Computing,Y,OS,Out,,
440,NIT,205,National Institute of Technology Agartala,5604,Chemistry,Y,OS,SAFE,,3164
441,NIT,205,National Institute of Technology Agartala,520G,Computational Mathematics,-,OS,Out,,
442,NIT,205,National Institute of Technology Agartala,5267,Engineering Physics,Y,OS,SAFE,,4098
443,NIT,205,National Institute of Technology Agartala,5602,Physics,Y,OS,SAFE,,3039
444,NIT,212,National Institute of Technology Meghalaya,4110,Computer Science and Engineering,-,OS,Out,,
445,NIT,212,National Institute of Technology Meghalaya,4114,Electronics and Communication Engineering,Y,OS,Good,,1354
446,NIT,212,National Institute of Technology Meghalaya,4144,Electrical and Electronics Engineering,Y,OS,SAFE,1665,
447,NIT,212,National Institute of Technology Meghalaya,4125,Mechanical Engineering,-,OS,Out,,
448,NIT,212,National Institute of Technology Meghalaya,4109,Civil Engineering,-,OS,Out,,
449,NIT,213,National Institute of Technology Nagaland,4110,Computer Science and Engineering,-,OS,Out,,
450,NIT,213,National Institute of Technology Nagaland,4114,Electronics and Communication Engineering,-,OS,SAFE,,2034
451,NIT,213,National Institute of Technology Nagaland,4142,Electronics and Instrumentation Engineering,Y,OS,SAFE,1754,4118
452,NIT,213,National Institute of Technology Nagaland,4144,Electrical and Electronics Engineering,-,OS,SAFE,,3249
453,NIT,213,National Institute of Technology Nagaland,4125,Mechanical Engineering,-,OS,Out,,
454,NIT,213,National Institute of Technology Nagaland,4109,Civil Engineering,-,OS,Out,,
455,NIT,217,National Institute of Technology Sikkim,4110,Computer Science and Engineering,Y,OS,Reach,,925
456,NIT,217,National Institute of Technology Sikkim,410P,Artificial Intelligence and Machine Learning,-,OS,No-data,,
457,NIT,217,National Institute of Technology Sikkim,4114,Electronics and Communication Engineering,Y,OS,SAFE,966,
458,NIT,217,National Institute of Technology Sikkim,4144,Electrical and Electronics Engineering,Y,OS,SAFE,1523,
459,NIT,217,National Institute of Technology Sikkim,4125,Mechanical Engineering,-,OS,Out,,
460,NIT,217,National Institute of Technology Sikkim,4109,Civil Engineering,-,OS,Out,,
461,NIT,218,National Institute of Technology Arunachal Pradesh,4110,Computer Science and Engineering,Y,OS,Reach,,882
462,NIT,218,National Institute of Technology Arunachal Pradesh,4114,Electronics and Communication Engineering,Y,OS,SAFE,1196,1963
463,NIT,218,National Institute of Technology Arunachal Pradesh,4111,Electrical Engineering,Y,OS,SAFE,1269,
464,NIT,218,National Institute of Technology Arunachal Pradesh,4125,Mechanical Engineering,Y,OS,SAFE,1521,
465,NIT,218,National Institute of Technology Arunachal Pradesh,4109,Civil Engineering,-,OS,SAFE,1738,
466,NIT,218,National Institute of Technology Arunachal Pradesh,4194,Biosciences and Bioengineering,Y,OS,SAFE,1485,
467,NIT,221,"National Institute of Technology, Manipur",4110,Computer Science and Engineering,Y,OS,Good,675,1567
468,NIT,221,"National Institute of Technology, Manipur",5216,Computer Science and Engineering,-,OS,No-data,,
469,NIT,221,"National Institute of Technology, Manipur",4114,Electronics and Communication Engineering,Y,OS,SAFE,1157,
470,NIT,221,"National Institute of Technology, Manipur",5234,Electronics and Communication Engineering,-,OS,No-data,,
471,NIT,221,"National Institute of Technology, Manipur",4111,Electrical Engineering,Y,OS,SAFE,1507,
472,NIT,221,"National Institute of Technology, Manipur",5217,Electrical Engineering,-,OS,No-data,,
473,NIT,221,"National Institute of Technology, Manipur",4125,Mechanical Engineering,Y,OS,SAFE,1528,3757
474,NIT,221,"National Institute of Technology, Manipur",5233,Mechanical Engineering,-,OS,No-data,,
475,NIT,221,"National Institute of Technology, Manipur",4109,Civil Engineering,-,OS,SAFE,,3811
476,NIT,221,"National Institute of Technology, Manipur",5213,Civil Engineering,-,OS,No-data,,
477,NIT,222,"National Institute of Technology, Mizoram",4110,Computer Science and Engineering,Y,OS,Good,,1542
478,NIT,222,"National Institute of Technology, Mizoram",4124,Mathematics and Computing,-,OS,Out,,
479,NIT,222,"National Institute of Technology, Mizoram",4114,Electronics and Communication Engineering,Y,OS,SAFE,,2374
480,NIT,222,"National Institute of Technology, Mizoram",4111,Electrical Engineering,Y,OS,SAFE,1512,
481,NIT,222,"National Institute of Technology, Mizoram",4125,Mechanical Engineering,Y,OS,SAFE,,4235
482,NIT,222,"National Institute of Technology, Mizoram",4108,Chemical Science and Technology,-,OS,Out,,
483,NIT,222,"National Institute of Technology, Mizoram",4109,Civil Engineering,Y,OS,Out,,
484,NIT,225,"National Institute of Technology, Srinagar",4110,Computer Science and Engineering,Y,OS,Good,415,1171
485,NIT,225,"National Institute of Technology, Srinagar",4114,Electronics and Communication Engineering,Y,OS,SAFE,970,2024
