Rank,Type,Institute,Branch,Avg General-GN close,2023,2024,2025
73,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science and Engineering,11079,11017,10957,11262
74,NIT,"National Institute of Technology, Rourkela",Electronics and Instrumentation Engineering,11098,12955,10785,9555
75,IIIT,Indian Institute of Information Technology Lucknow,Computer Science and Business,11282,11175,11380,11292
76,NIT,"National Institute of Technology, Rourkela",Electrical Engineering,11332,12910,10462,10623
77,IIIT,Indian Institute of Information Technology Lucknow,Information Technology,11619,11947,11494,11416
78,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics and Scientific Computing,11658,12085,11180,11710
79,NIT,Motilal Nehru National Institute of Technology Allahabad,Electrical Engineering,11672,12422,10928,11665
80,NIT,Motilal Nehru National Institute of Technology Allahabad,Engineering and Computational Mechanics,11915,11754,11650,12340
81,NIT,"National Institute of Technology, Tiruchirappalli",Instrumentation and Control Engineering,12096,14240,11001,11047
82,NIT,"National Institute of Technology, Kurukshetra",Electronics and Communication Engineering,12225,,12066,12384
83,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Artificial Intelligence,12259,,12267,12251
84,NIT,"National Institute of Technology, Kurukshetra",Electronics and Communication Engineering,12266,13145,11489,12163
85,NIT,National Institute of Technology Hamirpur,Computer Science and Engineering,12416,12426,12236,12586
86,NIT,"National Institute of Technology, Silchar",Computer Science and Engineering,12471,12818,11930,12665
87,NIT,National Institute of Technology Delhi,Electronics and Communication Engineering,12490,14481,12080,10909
88,NIT,National Institute of Technology Calicut,Electrical and Electronics Engineering,12627,14740,11415,11727
89,NIT,National Institute of Technology Durgapur,B.Tech in Mathematics and Computing,12708,,12077,13340
90,NIT,"National Institute of Technology, Kurukshetra",ROBOTICS & AUTOMATION,12760,,11581,13940
91,NIT,"National Institute of Technology Karnataka, Surathkal",Mechanical Engineering,12800,14069,12380,11950
92,NIT,National Institute of Technology Goa,Computer Science and Engineering,12918,12604,12511,13640
93,NIT,National Institute of Technology Raipur,Computer Science and Engineering,13170,12773,13177,13559
