Rank,Type,Institute,Branch,Avg Gen-PwD close,Avg OBC-PwD close
318,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems,2109,1165
319,NIT,Maulana Azad National Institute of Technology Bhopal,Materials Science and Metallurgical Engineering,2116,1117
320,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",Computer Engineering,2126,1473
321,NIT,"National Institute of Technology, Kurukshetra",Mechanical Engineering,2128,
322,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",Computer Science and Engineering,2132,1747
323,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Engineering Physics,2141,
324,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,2153,1068
325,IIIT,Indian Institute of Information Technology Guwahati,Electronics and Communication Engineering,2174,1256
326,NIT,National Institute of Technology Puducherry,Mechanical Engineering,2209,778
327,NIT,National Institute of Technology Raipur,Metallurgical and Materials Engineering,2211,
328,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Design Engineering,2217,
329,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Electronics and Communication Engineering,2221,1633
330,NIT,"National Institute of Technology, Silchar",Civil Engineering,2236,1167
331,IIIT,"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",Computer Science and Engineering,2237,1354
332,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Electronics and Communication Engineering,2239,1523
333,GFTI,"Birla Institute of Technology, Patna Off-Campus",Computer Science and Engineering,2257,1504
334,GFTI,"Assam University, Silchar",Computer Science and Engineering,2270,
335,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Mechanical Engineering,2270,1526
336,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",Electronics and Communication Engineering,2271,1087
337,GFTI,Sant Longowal Institute of Engineering and Technology,Computer Science and Engineering,2277,1636
338,GFTI,"International Institute of Information Technology, Bhubaneswar",Electrical and Electronics Engineering,2281,
339,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering,2284,1203
340,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Mechanical Engineering,2294,934
341,NIT,National Institute of Technology Durgapur,Metallurgical and Materials Engineering,2313,1152
342,NIT,National Institute of Technology Patna,Mechanical Engineering,2323,1225
343,NIT,"National Institute of Technology, Mizoram",Electronics and Communication Engineering,2343,
344,NIT,"National Institute of Technology, Jamshedpur",Production and Industrial Engineering,2364,
345,GFTI,"Assam University, Silchar",Agricultural Engineering,2376,
346,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Chemistry,2386,1600
347,NIT,Motilal Nehru National Institute of Technology Allahabad,Production and Industrial Engineering,2388,
348,GFTI,"National Institute of Electronics and Information Technology, Gorakhpur (UP)",Computer Science and Engineering with minor in AI and ML,2392,1712
349,GFTI,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",Electronics System Engineering,2407,
350,GFTI,"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)","Computer Science and Engineering (Internet of Things, Cyber Security including Block Chain Technology )",2407,1177
351,NIT,"National Institute of Technology, Srinagar",Mechanical Engineering,2410,1576
352,NIT,Motilal Nehru National Institute of Technology Allahabad,Bio Technology,2420,1109
353,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",Electronics and Communication Engineering,2432,1588
354,NIT,National Institute of Technology Agartala,Electronics and Instrumentation Engineering,2440,
355,NIT,National Institute of Technology Hamirpur,Materials Science and Engineering,2469,1778
356,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Mechanical Engineering,2504,1086
357,NIT,"National Institute of Technology, Kurukshetra",Production and Industrial Engineering,2506,
358,NIT,"National Institute of Technology, Srinagar",Metallurgical and Materials Engineering,2507,1510
359,GFTI,"Birla Institute of Technology, Patna Off-Campus",Artificial Intelligence and Machine Learning,2508,1486
360,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,Electronics and Communication Engineering,2513,1323
361,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Smart Manufacturing,2519,1442
362,NIT,"National Institute of Technology, Andhra Pradesh",Chemical Engineering,2547,
363,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and Production Engineering,2548,
364,IIIT,Indian Institute of Information Technology Bhopal,Electronics and Communication Engineering,2568,1661
365,NIT,National Institute of Technology Raipur,Bio Medical Engineering,2608,1080
366,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Computer Science and Engineering,2624,1738
367,GFTI,"International Institute of Information Technology, Bhubaneswar",Electronics and Telecommunication Engineering,2626,
368,IIIT,Indian Institute of Information Technology Surat,Electronics and Communication Engineering,2627,1342
369,NIT,"National Institute of Technology, Rourkela",Ceramic Engineering,2640,
370,IIIT,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",Electronics and Communication Engineering,2642,1402
371,GFTI,"National Institute of Food Technology Entrepreneurship and Management, Thanjavur",Food Technology,2651,1228
372,NIT,"National Institute of Technology, Srinagar",Electrical Engineering,2659,1136
373,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Computer Science and Engineering,2663,1520
374,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Civil Engineering,2670,
375,GFTI,"Central University of Rajasthan, Rajasthan",Computer Science and Engineering,2707,
376,IIIT,Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,2715,1763
377,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",B.Tech in Mathematics and Computing,2723,
378,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Mathematics and Computing,2727,
379,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",Electrical Engineering,2776,1739
380,IIIT,Indian Institute of Information Technology Bhagalpur,Mathematics and Computing,2776,
381,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,Electronics and Communication Engineering,2814,1460
382,NIT,National Institute of Technology Agartala,Mechanical Engineering,2815,1158
383,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",Electrical Engineering,2825,1773
384,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",Computer Science and Engineering,2830,
385,GFTI,"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar",Chemical Engineering,2846,1754
386,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Information Technology,2863,1717
387,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Mechanical Engineering,2875,
388,GFTI,"Mizoram University, Aizawl",Computer Engineering,2908,
389,GFTI,Sant Longowal Institute of Engineering and Technology,Electronics and Communication Engineering,2918,
390,NIT,"National Institute of Technology, Manipur",Mechanical Engineering,2941,1579
391,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",Electrical and Electronics Engineering,2943,1435
392,GFTI,"Central University of Rajasthan, Rajasthan",Electronics and Communication Engineering,2981,
393,GFTI,"Central University of Rajasthan, Rajasthan",Bio Medical Engineering,2982,
394,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Electronics and Communication Engineering,2985,1499
395,GFTI,Central University of Haryana,Electrical Engineering,2989,1713
396,GFTI,"Central institute of Technology Kokrajar, Assam",Computer Science and Engineering,2995,
397,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Food Engineering  and Technology,3005,
398,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Textile Technology,3026,1294
399,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,Electronics and Communication Engineering (with Specialization of Embedded Systems and Internet of Things),3026,1701
400,NIT,National Institute of Technology Agartala,Physics,3039,
401,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Metallurgy and Materials Engineering,3047,
402,GFTI,"Birla Institute of Technology, Patna Off-Campus",Mechanical Engineering,3071,1607
403,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Electronics and Communication Engineering,3078,1506
404,GFTI,"North-Eastern Hill University, Shillong",Electronics and Communication Engineering,3078,
405,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Electrical Engineering,3082,
406,GFTI,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",Aerospace Engineering,3087,
407,NIT,"National Institute of Technology, Srinagar",Chemical Engineering,3088,1314
408,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",Civil Engineering,3089,1425
409,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Civil Engineering,3090,1770
410,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",Civil Engineering,3095,
411,NIT,National Institute of Technology Agartala,Civil Engineering,3107,1269
412,NIT,National Institute of Technology Agartala,Chemical Engineering,3110,1514
413,GFTI,"Assam University, Silchar",Electronics and Communication Engineering,3118,
414,IIIT,"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",Artificial Intelligence,3121,
415,GFTI,Central University of Jammu,Computer Science and Engineering with specialization in Cyber Security,3122,1548
416,GFTI,"Birla Institute of Technology, Patna Off-Campus",Electrical and Electronics Engineering,3142,1577
417,GFTI,"North-Eastern Hill University, Shillong",Energy Engineering,3151,
418,NIT,National Institute of Technology Agartala,Chemistry,3164,
419,NIT,"National Institute of Technology, Srinagar",Civil Engineering,3204,1936
420,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",Mechanical Engineering,3204,
421,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Bio Technology,3221,
422,NIT,National Institute of Technology Hamirpur,Civil Engineering,3228,1353
423,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",Computer Science Engineering (Data Science),3246,1491
424,NIT,National Institute of Technology Nagaland,Electrical and Electronics Engineering,3249,
425,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Physics,3257,1607
426,IIIT,Indian Institute of Information Technology Bhopal,Physics and Computational Engineering,3258,
427,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",Mechanical Engineering,3267,
428,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",Mechanical Engineering,3294,1517
429,NIT,National Institute of Technology Hamirpur,Engineering Physics,3298,1646
430,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Electrical and Electronics Engineering,3326,1644
431,GFTI,"Puducherry Technological University, Puducherry",Electronics and Instrumentation Engineering,3326,
432,GFTI,"Puducherry Technological University, Puducherry",Civil Engineering,3366,1666
433,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Mechanical Engineering,3387,1574
434,GFTI,"Mizoram University, Aizawl",Electronics and Communication Engineering,3396,
435,NIT,National Institute of Technology Patna,Chemical Technology,3410,1443
436,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",Production and Industrial Engineering,3427,1891
437,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Industrial Chemistry,3431,1113
438,GFTI,"National Institute of Food Technology Entrepreneurship and Management, Kundli",Food Technology and Management,3467,
439,GFTI,"Indian Institute of Handloom Technology, Salem",Handloom and Textile Technology,3478,1644
440,NIT,National Institute of Technology Nagaland,Electronics and Instrumentation Engineering,3494,1546
441,GFTI,"Mizoram University, Aizawl",Information Technology,3498,
442,GFTI,"Indian Institute of Handloom Technology(IIHT), Varanasi",Handloom and Textile Technology,3514,1850
443,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Chemical Engineering,3549,
444,IIIT,Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,3553,1700
445,GFTI,Sant Longowal Institute of Engineering and Technology,Electrical Engineering,3560,
446,GFTI,CU Jharkhand,Integrated B. Tech. - M. Tech in Civil Engineering,3562,
447,IIIT,Indian Institute of Information Technology Bhagalpur,Mechatronics and Automation Engineering,3572,1432
448,GFTI,CU Jharkhand,Integrated B. Tech. - M. Tech in Computer Science & Engineering,3578,
449,GFTI,Central University of Haryana,Printing and Packaging Technology,3584,
450,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",Computer Science and Engineering,3609,1784
451,GFTI,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",Electronic Engineering,3610,1689
452,IIIT,"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",Electronics and Communication Engineering,3623,1739
453,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",Mechanical Engineering,3666,
454,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Robotics and AI,3674,
455,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Artificial Intelligence and Data Science,3674,1814
456,GFTI,Central University of Jammu,Computer Science and Engineering,3692,1474
457,GFTI,"North-Eastern Hill University, Shillong",Information Technology,3696,
458,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",Metallurgy and Materials Engineering,3698,1647
459,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Chemical Engineering,3707,1590
460,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,B.Tech in Mathematics and Computing,3723,
461,GFTI,"Mizoram University, Aizawl",Electrical Engineering,3733,
462,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",Electronics and Communication Engineering,3795,1663
463,NIT,"National Institute of Technology, Manipur",Civil Engineering,3811,
464,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Production and Industrial Engineering,3850,1618
465,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Electronics and Communication Engineering,3866,1891
466,GFTI,"Birla Institute of Technology, Patna Off-Campus",Civil Engineering,3889,
467,GFTI,"Birla Institute of Technology, Patna Off-Campus",Electronics and Communication Engineering,3900,1521
468,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",Electrical Engineering,3906,1274
469,GFTI,"National Institute of Electronics and Information Technology, Gorakhpur (UP)",B. Tech in Electronics and Communication Engineering with minor in Wearable Electronics,3975,
470,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",Mechanical Engineering,3984,
471,GFTI,Sant Longowal Institute of Engineering and Technology,Computer Science and Engineering,4054,
472,GFTI,"North-Eastern Hill University, Shillong",Biomedical Engineering,4086,
473,NIT,National Institute of Technology Agartala,Engineering Physics,4098,
474,IIIT,Indian Institute of Information Technology Bhopal,B.Tech in Mathematics and Computing,4161,1773
475,GFTI,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",Electronics and Communication Engineering (Avionics),4182,1779
476,GFTI,Central University of Haryana,Computer Science and Engineering,4202,
477,NIT,"National Institute of Technology, Mizoram",Mechanical Engineering,4235,
478,GFTI,"Mizoram University, Aizawl",Civil Engineering,4246,
479,GFTI,Central University of Jammu,Electronics and Communication Engineering,4246,1688
480,NIT,National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,4279,1317
481,GFTI,Sant Longowal Institute of Engineering and Technology,Food Technology,4287,
482,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Electrical Engineering,4293,
483,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Mechanical Engineering,4296,
484,GFTI,CU Jharkhand,Integrated B. Tech. - M. Tech in Electrical Engineering,4335,
