Choice,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach2025,Via,OBC-PwD_close,Gen-PwD_close
55,NIT,215,National Institute of Technology Puducherry,4125,Mechanical Engineering,Y,SAFE,General PwD,778,2209
56,NIT,215,National Institute of Technology Puducherry,4109,Civil Engineering,Y,Reach,General PwD,,919
57,NIT,209,National Institute of Technology Goa,4110,Computer Science and Engineering,Y,Out,OBC-NCL,,
58,NIT,209,National Institute of Technology Goa,4114,Electronics and Communication Engineering,-,Reach,General PwD,,901
59,NIT,209,National Institute of Technology Goa,4144,Electrical and Electronics Engineering,Y,Good,OBC-NCL(PwD),716,1128
60,NIT,209,National Institute of Technology Goa,4125,Mechanical Engineering,Y,SAFE,OBC-NCL(PwD),1061,
61,NIT,209,National Institute of Technology Goa,4109,Civil Engineering,Y,Good,General PwD,,1603
62,NIT,211,"National Institute of Technology Karnataka, Surathkal",4110,Computer Science and Engineering,Y,Out,OBC-NCL(PwD),24,56
63,NIT,211,"National Institute of Technology Karnataka, Surathkal",4185,Artificial Intelligence,Y,Out,OBC-NCL(PwD),82,71
64,NIT,211,"National Institute of Technology Karnataka, Surathkal",410Q,Computational and Data Science,Y,Out,General PwD,,75
65,NIT,211,"National Institute of Technology Karnataka, Surathkal",4114,Electronics and Communication Engineering,Y,Out,OBC-NCL(PwD),111,
66,NIT,211,"National Institute of Technology Karnataka, Surathkal",4144,Electrical and Electronics Engineering,Y,Good,OBC-NCL(PwD),739,466
67,NIT,211,"National Institute of Technology Karnataka, Surathkal",4146,Information Technology,Y,Out,General PwD,,132
68,NIT,211,"National Institute of Technology Karnataka, Surathkal",4125,Mechanical Engineering,Y,Good,OBC-NCL(PwD),590,661
69,NIT,211,"National Institute of Technology Karnataka, Surathkal",4107,Chemical Engineering,Y,Good,OBC-NCL(PwD),495,336
70,NIT,211,"National Institute of Technology Karnataka, Surathkal",4109,Civil Engineering,Y,Good,General PwD,368,1128
71,NIT,211,"National Institute of Technology Karnataka, Surathkal",4127,Metallurgical and Materials Engineering,Y,Good,OBC-NCL(PwD),531,1241
72,NIT,211,"National Institute of Technology Karnataka, Surathkal",4130,Mining Engineering,-,Out,OBC-NCL,,
73,NIT,223,"National Institute of Technology, Rourkela",4110,Computer Science and Engineering,Y,Out,OBC-NCL(PwD),180,118
74,NIT,223,"National Institute of Technology, Rourkela",4185,Artificial Intelligence,Y,Out,General PwD,,233
75,NIT,223,"National Institute of Technology, Rourkela",411F,B.Tech in Mathematics and Computing,-,No-data,,,
76,NIT,223,"National Institute of Technology, Rourkela",4114,Electronics and Communication Engineering,Y,Out,General PwD,,232
77,NIT,223,"National Institute of Technology, Rourkela",4142,Electronics and Instrumentation Engineering,Y,Out,General PwD,,341
78,NIT,223,"National Institute of Technology, Rourkela",4111,Electrical Engineering,Y,SAFE,OBC-NCL(PwD),942,926
79,NIT,223,"National Institute of Technology, Rourkela",4125,Mechanical Engineering,Y,Good,OBC-NCL(PwD),587,712
80,NIT,223,"National Institute of Technology, Rourkela",4107,Chemical Engineering,Y,SAFE,General PwD,,2373
81,NIT,223,"National Institute of Technology, Rourkela",5210,Chemical Engineering,-,No-data,,,
82,NIT,223,"National Institute of Technology, Rourkela",4109,Civil Engineering,Y,SAFE,OBC-NCL(PwD),1411,1018
83,NIT,223,"National Institute of Technology, Rourkela",4127,Metallurgical and Materials Engineering,Y,SAFE,OBC-NCL(PwD),1182,2456
84,NIT,223,"National Institute of Technology, Rourkela",5243,Metallurgical and Materials Engineering,-,Out,OBC-NCL,,
85,NIT,223,"National Institute of Technology, Rourkela",4106,Ceramic Engineering,Y,SAFE,General PwD,,2228
86,NIT,223,"National Institute of Technology, Rourkela",5258,Ceramic Engineering and M.Tech Industrial Ceramic,-,Out,OBC-NCL,,
87,NIT,223,"National Institute of Technology, Rourkela",4117,Engineering Physics,-,No-data,,,
88,NIT,223,"National Institute of Technology, Rourkela",4169,Food Process Engineering,-,Out,OBC-NCL,,
89,NIT,223,"National Institute of Technology, Rourkela",4130,Mining Engineering,-,Out,OBC-NCL,,
90,NIT,223,"National Institute of Technology, Rourkela",5247,Mining Engineering,-,Out,OBC-NCL,,
91,NIT,223,"National Institute of Technology, Rourkela",4152,Bio Medical Engineering,-,Out,OBC-NCL,,
92,NIT,223,"National Institute of Technology, Rourkela",4104,Bio Technology,Y,SAFE,General PwD,,3027
93,NIT,223,"National Institute of Technology, Rourkela",5101,Architecture,-,Out,OBC-NCL,,
94,NIT,223,"National Institute of Technology, Rourkela",5503,Chemistry,-,Out,OBC-NCL,,
95,NIT,223,"National Institute of Technology, Rourkela",4155,Industrial Design,-,Out,OBC-NCL,,
96,NIT,223,"National Institute of Technology, Rourkela",5509,Life Science,-,Out,OBC-NCL,,
97,NIT,203,Maulana Azad National Institute of Technology Bhopal,4110,Computer Science and Engineering,Y,Out,OBC-NCL(PwD),201,438
98,NIT,226,"National Institute of Technology, Tiruchirappalli",4110,Computer Science and Engineering,Y,Out,General PwD,18,250
99,NIT,203,Maulana Azad National Institute of Technology Bhopal,520F,Mathematics and Data Science,-,Out,General,,
100,NIT,203,Maulana Azad National Institute of Technology Bhopal,4114,Electronics and Communication Engineering,Y,Good,OBC-NCL(PwD),499,1154
101,NIT,226,"National Institute of Technology, Tiruchirappalli",4114,Electronics and Communication Engineering,Y,Out,General PwD,80,360
102,NIT,203,Maulana Azad National Institute of Technology Bhopal,4111,Electrical Engineering,Y,SAFE,OBC-NCL(PwD),1028,1898
103,NIT,203,Maulana Azad National Institute of Technology Bhopal,412X,Energy and Electrical Vehicle Engineering,-,Out,OBC-NCL,,
104,NIT,226,"National Institute of Technology, Tiruchirappalli",4144,Electrical and Electronics Engineering,Y,Out,General PwD,,387
105,NIT,203,Maulana Azad National Institute of Technology Bhopal,413N,Electrical Engineering with E Mobility,-,No-data,,,
106,NIT,203,Maulana Azad National Institute of Technology Bhopal,4125,Mechanical Engineering,Y,SAFE,OBC-NCL(PwD),1310,2715
107,NIT,226,"National Institute of Technology, Tiruchirappalli",4125,Mechanical Engineering,Y,Out,OBC-NCL(PwD),258,393
108,NIT,203,Maulana Azad National Institute of Technology Bhopal,4107,Chemical Engineering,Y,SAFE,OBC-NCL(PwD),1812,2151
109,NIT,226,"National Institute of Technology, Tiruchirappalli",4107,Chemical Engineering,Y,Reach,OBC-NCL(PwD),284,196
110,NIT,203,Maulana Azad National Institute of Technology Bhopal,4109,Civil Engineering,Y,SAFE,General PwD,726,4256
111,NIT,226,"National Institute of Technology, Tiruchirappalli",4109,Civil Engineering,Y,Out,OBC-NCL(PwD),270,575
112,NIT,203,Maulana Azad National Institute of Technology Bhopal,4180,Materials and Metallurgical Engineering,Y,No-data,,,
113,NIT,226,"National Institute of Technology, Tiruchirappalli",4127,Metallurgical and Materials Engineering,Y,Reach,General PwD,316,797
114,NIT,203,Maulana Azad National Institute of Technology Bhopal,522S,B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree),-,Out,OBC-NCL,,
115,NIT,226,"National Institute of Technology, Tiruchirappalli",4148,Instrumentation and Control Engineering,Y,Good,OBC-NCL(PwD),503,789
