Choice,Composite,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach,OBC-PwD_close,Gen-PwD_close
165,77.5,IIIT,316,Indian Institute of Information Technology(IIIT) Dharwad,4181,Data Science and Artificial Intelligence,Y,SAFE,1555,2128
166,77.5,NIT,231,"National Institute of Technology, Andhra Pradesh",4110,Computer Science and Engineering,Y,Out,218,432
167,77.25,IIIT,314,Indian Institute of Information Technology Tiruchirappalli,412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),Y,Reach,357,743
168,77.12,NIT,208,National Institute of Technology Durgapur,4125,Mechanical Engineering,Y,SAFE,961,1964
169,76.88,NIT,228,"National Institute of Technology, Warangal",4109,Civil Engineering,Y,Out,,531
170,76.88,NIT,206,National Institute of Technology Calicut,4107,Chemical Engineering,Y,Good,573,1016
171,76.88,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,4114,Electronics and Communication Engineering,Y,Good,728,1575
172,76.88,NIT,210,National Institute of Technology Hamirpur,4110,Computer Science and Engineering,Y,Out,246,616
173,76.88,NIT,210,National Institute of Technology Hamirpur,5216,Computer Science and Engineering,Y,Reach,,669
174,76.5,NIT,203,Maulana Azad National Institute of Technology Bhopal,4125,Mechanical Engineering,Y,SAFE,839,1945
175,76.5,NIT,214,National Institute of Technology Patna,520J,Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design,-,Good,655,
176,76.38,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",410B,Industrial Chemistry,Y,SAFE,1113,3431
177,76.25,NIT,226,"National Institute of Technology, Tiruchirappalli",4109,Civil Engineering,Y,Out,270,575
178,76.25,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4107,Chemical Engineering,Y,SAFE,1179,1550
179,76.25,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",413Y,Chemical Technology (Bioprocess Technology),Y,No-data,,
180,76.25,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4114,Electronics and Communication Engineering,Y,SAFE,1499,2985
181,76.25,NIT,215,National Institute of Technology Puducherry,4110,Computer Science and Engineering,Y,Out,104,472
182,76.12,IIIT,301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4144,Electrical and Electronics Engineering,Y,Good,639,748
183,76.0,NIT,214,National Institute of Technology Patna,411H,Electronics Engineering (VLSI Design and Technology),Y,SAFE,1151,1449
184,75.88,NIT,220,"National Institute of Technology, Kurukshetra",4125,Mechanical Engineering,Y,SAFE,865,
185,75.88,NIT,220,"National Institute of Technology, Kurukshetra",5233,Mechanical Engineering,Y,SAFE,,1990
186,75.88,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,411F,B.Tech in Mathematics and Computing,Y,No-data,,
187,75.62,NIT,211,"National Institute of Technology Karnataka, Surathkal",4109,Civil Engineering,Y,Reach,368,776
188,75.62,NIT,202,Malaviya National Institute of Technology Jaipur,4107,Chemical Engineering,Y,SAFE,840,1075
189,75.62,NIT,207,National Institute of Technology Delhi,4114,Electronics and Communication Engineering,Y,Out,,304
190,75.62,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4185,Artificial Intelligence,Y,No-data,,
191,75.62,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4187,Data Science and Engineering,Y,Reach,310,703
192,75.62,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4110,Computer Science and Engineering,Y,Good,535,1103
193,75.62,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",5216,Computer Science and Engineering,-,Good,546,618
194,75.25,NIT,219,"National Institute of Technology, Jamshedpur",4125,Mechanical Engineering,Y,SAFE,1415,1148
195,75.25,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4146,Information Technology,Y,SAFE,1688,1853
196,75.0,NIT,223,"National Institute of Technology, Rourkela",4109,Civil Engineering,Y,Borderline,427,641
197,75.0,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4107,Chemical Engineering,Y,Good,750,899
198,75.0,NIT,214,National Institute of Technology Patna,4114,Electronics and Communication Engineering,Y,Good,751,755
199,75.0,IIIT,303,Indian Institute of Information Technology Guwahati,4110,Computer Science and Engineering,Y,SAFE,863,1671
200,74.88,GFTI,422,"Punjab Engineering College, Chandigarh",4111,Electrical Engineering,Y,No-data,,
201,74.62,NIT,224,"National Institute of Technology, Silchar",4125,Mechanical Engineering,Y,SAFE,1335,1298
202,74.62,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4124,Mathematics and Computing,Y,Reach,,828
203,74.38,NIT,228,"National Institute of Technology, Warangal",4127,Metallurgical and Materials Engineering,Y,Borderline,,1125
204,74.38,NIT,228,"National Institute of Technology, Warangal",5243,Metallurgical and Materials Engineering,-,Out,,
205,74.38,NIT,206,National Institute of Technology Calicut,4109,Civil Engineering,Y,Borderline,434,801
206,74.38,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4107,Chemical Engineering,Y,SAFE,1395,1501
207,74.38,NIT,216,National Institute of Technology Raipur,4114,Electronics and Communication Engineering,Y,Reach,282,699
208,74.38,IIIT,326,"Indian institute of information technology, Raichur, Karnataka",4110,Computer Science and Engineering,Y,Good,692,1218
209,73.88,NIT,220,"National Institute of Technology, Kurukshetra",411C,Industrial Internet of Things,Y,Good,655,1520
210,73.88,NIT,220,"National Institute of Technology, Kurukshetra",4136,Production and Industrial Engineering,Y,SAFE,,2564
211,73.75,NIT,226,"National Institute of Technology, Tiruchirappalli",4127,Metallurgical and Materials Engineering,Y,Reach,,797
212,73.75,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4109,Civil Engineering,Y,SAFE,1047,1172
213,73.75,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4114,Electronics and Communication Engineering,Y,SAFE,1523,2820
214,73.75,IIIT,304,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",4110,Computer Science and Engineering,Y,SAFE,1537,1223
215,73.75,IIIT,304,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",410J,Computer Science and Engineering (Cyber Security),-,Out,,
216,73.5,NIT,223,"National Institute of Technology, Rourkela",4106,Ceramic Engineering,Y,SAFE,,2228
217,73.5,NIT,223,"National Institute of Technology, Rourkela",4169,Food Process Engineering,-,Out,,
218,73.5,NIT,223,"National Institute of Technology, Rourkela",5509,Life Science,-,Out,,
219,73.38,NIT,216,National Institute of Technology Raipur,4146,Information Technology,Y,Reach,,727
220,73.38,NIT,210,National Institute of Technology Hamirpur,4124,Mathematics and Computing,Y,Borderline,443,664
221,73.25,NIT,219,"National Institute of Technology, Jamshedpur",4136,Production and Industrial Engineering,Y,SAFE,,2482
222,73.12,NIT,211,"National Institute of Technology Karnataka, Surathkal",4127,Metallurgical and Materials Engineering,Y,Good,531,1241
223,73.12,NIT,202,Malaviya National Institute of Technology Jaipur,4109,Civil Engineering,Y,Reach,,832
224,73.12,NIT,208,National Institute of Technology Durgapur,4107,Chemical Engineering,Y,SAFE,936,1949
225,73.12,NIT,208,National Institute of Technology Durgapur,5257,Chemical Engineering,-,Out,,
226,73.12,IIIT,302,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4114,Electronics and Communication Engineering,Y,SAFE,1499,2383
227,73.12,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4188,Artificial Intelligence and Data Science,Y,Borderline,412,656
228,73.12,IIIT,317,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",523U,Artificial Intelligence and Data Science,-,No-data,,
