Priority,Type,Institute,BranchCode,Branch,Composite,Reach,Note
263,NIT,National Institute of Technology Calicut,4117,Engineering Physics,70.25,Good,
264,NIT,"National Institute of Technology, Kurukshetra",412A,ROBOTICS & AUTOMATION,70.25,Reach,
265,NIT,"National Institute of Technology, Kurukshetra",412D,SUSTAINABLE ENERGY TECHNOLOGIES,70.25,Out,
266,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4144,Electrical and Electronics Engineering,70.25,SAFE,
267,NIT,National Institute of Technology Hamirpur,4124,Mathematics and Computing,70.2,Borderline,
268,NIT,Motilal Nehru National Institute of Technology Allahabad,4104,Bio Technology,70.0,SAFE,
269,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,4114,Electronics and Communication Engineering,70.0,SAFE,
270,IIIT,"Indian institute of information technology, Raichur, Karnataka",4110,Computer Science and Engineering,70.0,Good,
271,GFTI,"Punjab Engineering College, Chandigarh",4136,Production and Industrial Engineering,69.85,No-data,
272,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",410V,Electronics and VLSI Engineering,69.7,Good,
273,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4117,Engineering Physics,69.5,No-data,
274,NIT,"National Institute of Technology, Jamshedpur",4192,Engineering and Computational Mechanics,69.5,Out,
275,NIT,"National Institute of Technology, Jamshedpur",4127,Metallurgical and Materials Engineering,69.5,Out,
276,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4188,Artificial Intelligence and Data Science,69.5,Borderline,
277,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",523U,Artificial Intelligence and Data Science,69.5,No-data,
278,IIIT,Indian Institute of Information Technology Tiruchirappalli,4114,Electronics and Communication Engineering,69.25,SAFE,
279,IIIT,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",4110,Computer Science and Engineering,69.25,SAFE,
280,IIIT,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",410J,Computer Science and Engineering (Cyber Security),69.25,Out,
281,NIT,Malaviya National Institute of Technology Jaipur,4117,Engineering Physics,68.75,No-data,
282,IIIT,Indian Institute of Information Technology Guwahati,413V,Electronics Communication and Artificial Intelligence,68.75,No-data,
283,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4114,Electronics and Communication Engineering,68.5,Reach,
284,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,4110,Computer Science and Engineering,68.5,SAFE,
285,IIIT,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),68.05,Out,
286,GFTI,University of Hyderabad,5313,Materials Engineering,68.0,SAFE,
287,IIIT,"Indian institute of information technology, Raichur, Karnataka",4188,Artificial Intelligence and Data Science,68.0,Good,
288,NIT,National Institute of Technology Durgapur,4104,Bio Technology,67.75,SAFE,
289,NIT,National Institute of Technology Durgapur,5296,Biotechnology,67.75,Out,
290,NIT,"National Institute of Technology, Andhra Pradesh",4114,Electronics and Communication Engineering,67.75,Good,
291,IIIT,Indian Institute of Information Technology Bhopal,4110,Computer Science and Engineering,67.75,SAFE,
292,IIIT,Indian Institute of Information Technology Bhopal,411Y,Computer Science and Engineering (Cyber Physical System),67.75,SAFE,
293,IIIT,Indian Institute of Information Technology Bhopal,410J,Computer Science and Engineering (Cyber Security),67.75,SAFE,
294,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,4602,Computer Science and Engineering (with Specialization of Data Science and Artificial Intelligence),67.3,SAFE,
295,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3C,Chemistry,67.25,No-data,
296,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4117,Engineering Physics,67.25,SAFE,
297,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3E,Mathematics,67.25,No-data,
298,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3D,Physics,67.25,No-data,
299,IIIT,"Indian institute of information technology, Raichur, Karnataka",4124,Mathematics and Computing,67.2,SAFE,
300,NIT,National Institute of Technology Hamirpur,4114,Electronics and Communication Engineering,67.0,Good,
301,NIT,National Institute of Technology Hamirpur,5234,Electronics and Communication Engineering,67.0,Borderline,
302,GFTI,"Jawaharlal Nehru University, Delhi",4110,Computer Science and Engineering,67.0,Good,
303,IIIT,Indian Institute of Information Technology Bhopal,412G,Computer Science and Engineering (Artificial Intelligence),66.55,SAFE,
304,IIIT,Indian Institute of Information Technology Bhopal,412E,Computer Science and Engineering (Data Science),66.55,Good,
305,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",5503,Chemistry,66.5,No-data,
306,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",5507,Physics,66.5,No-data,
307,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4176,Smart Manufacturing,66.5,SAFE,
308,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4111,Electrical Engineering,66.5,Good,
309,GFTI,"Punjab Engineering College, Chandigarh",4109,Civil Engineering,66.25,No-data,
310,NIT,National Institute of Technology Puducherry,4114,Electronics and Communication Engineering,66.25,Reach,
311,NIT,National Institute of Technology Durgapur,5503,Chemistry,65.75,Out,
312,NIT,"National Institute of Technology, Andhra Pradesh",4144,Electrical and Electronics Engineering,65.75,Good,
313,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,411F,B.Tech in Mathematics and Computing,65.7,SAFE,
314,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",5234,Electronics and Communication Engineering,65.5,SAFE,
315,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4174,Electronics and Communication Engineering with specialization in Design and Manufacturing,65.5,Good,
316,GFTI,"International Institute of Information Technology, Naya Raipur",4110,Computer Science and Engineering,65.5,SAFE,
317,NIT,Maulana Azad National Institute of Technology Bhopal,522S,B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree),65.0,Out,
318,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",413C,Design Engineering,65.0,SAFE,
319,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4176,Smart Manufacturing,65.0,SAFE,
320,NIT,National Institute of Technology Hamirpur,4111,Electrical Engineering,65.0,SAFE,
321,IIIT,Indian Institute of Information Technology Bhopal,411F,B.Tech in Mathematics and Computing,64.95,SAFE,
322,IIIT,Indian Institute of Information Technology Guwahati,4114,Electronics and Communication Engineering,64.75,SAFE,
323,GFTI,"International Institute of Information Technology, Bhubaneswar",4110,Computer Science and Engineering,64.75,Good,
324,GFTI,"Punjab Engineering College, Chandigarh",4101,Aerospace Engineering,64.25,No-data,
325,GFTI,"Punjab Engineering College, Chandigarh",4127,Metallurgical and Materials Engineering,64.25,No-data,
326,NIT,National Institute of Technology Puducherry,4144,Electrical and Electronics Engineering,64.25,Borderline,
327,IIIT,Indian Institute of Information Technology Bhopal,4146,Information Technology,63.75,SAFE,
328,GFTI,"International Institute of Information Technology, Naya Raipur",4181,Data Science and Artificial Intelligence,63.5,Reach,
329,IIIT,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",4114,Electronics and Communication Engineering,63.25,SAFE,
330,GFTI,"Central University of Rajasthan, Rajasthan",4110,Computer Science and Engineering,63.25,SAFE,
331,GFTI,Central University of Karnataka,410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),62.8,No-data,
332,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4148,Instrumentation and Control Engineering,62.5,SAFE,
333,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,4114,Electronics and Communication Engineering,62.5,SAFE,
334,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,4601,Electronics and Communication Engineering (with Specialization of Embedded Systems and Internet of Things),62.5,SAFE,
335,NIT,National Institute of Technology Goa,4110,Computer Science and Engineering,62.5,Out,
336,IIIT,Indian Institute of Information Technology Bhopal,4114,Electronics and Communication Engineering,61.75,SAFE,
337,NIT,"National Institute of Technology, Uttarakhand",4110,Computer Science and Engineering,61.75,Out,
338,GFTI,Central University of Karnataka,4124,Mathematics and Computing,61.2,No-data,
339,GFTI,"Jawaharlal Nehru University, Delhi",4114,Electronics and Communication Engineering,61.0,SAFE,
340,GFTI,"International Institute of Information Technology, Bhubaneswar",4146,Information Technology,60.75,Good,
341,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5B01,Integrated B. Tech.(IT) and M. Tech (IT),59.75,Reach,
342,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5C01,Integrated B. Tech.(IT) and MBA,59.75,Good,
343,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,411M,Mathematics and Scientific Computing,59.75,Good,
344,NIT,National Institute of Technology Delhi,411Z,VLSI Design and Technology,59.75,Out,
345,GFTI,"International Institute of Information Technology, Naya Raipur",4114,Electronics and Communication Engineering,59.5,SAFE,
346,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4117,Engineering Physics,59.0,Out,
347,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",4111,Electrical Engineering,58.25,SAFE,
348,GFTI,Central University of Karnataka,4114,Electronics and Communication Engineering,58.0,No-data,
349,GFTI,"International Institute of Information Technology, Bhubaneswar",4153,Electronics and Telecommunication Engineering,57.55,SAFE,
350,GFTI,"Central University of Rajasthan, Rajasthan",4114,Electronics and Communication Engineering,57.25,SAFE,
351,GFTI,"International Institute of Information Technology, Bhubaneswar",4144,Electrical and Electronics Engineering,56.75,SAFE,
352,NIT,National Institute of Technology Goa,4114,Electronics and Communication Engineering,56.5,Reach,
353,GFTI,Central University of Karnataka,4111,Electrical Engineering,56.0,No-data,
354,NIT,"National Institute of Technology, Uttarakhand",4114,Electronics and Communication Engineering,55.75,SAFE,
355,NIT,National Institute of Technology Goa,4144,Electrical and Electronics Engineering,54.5,Good,
356,NIT,"National Institute of Technology, Uttarakhand",4144,Electrical and Electronics Engineering,53.75,Out,
357,NIT,National Institute of Technology Agartala,4110,Computer Science and Engineering,47.5,Borderline,
358,NIT,National Institute of Technology Meghalaya,4110,Computer Science and Engineering,47.5,Out,
359,NIT,National Institute of Technology Nagaland,4110,Computer Science and Engineering,47.5,Out,
360,NIT,National Institute of Technology Sikkim,4110,Computer Science and Engineering,47.5,Reach,
361,NIT,National Institute of Technology Arunachal Pradesh,4110,Computer Science and Engineering,47.5,Reach,
362,NIT,"National Institute of Technology, Manipur",4110,Computer Science and Engineering,47.5,Good,
363,NIT,"National Institute of Technology, Manipur",5216,Computer Science and Engineering,47.5,No-data,
364,NIT,"National Institute of Technology, Mizoram",4110,Computer Science and Engineering,47.5,Good,
365,NIT,"National Institute of Technology, Srinagar",4110,Computer Science and Engineering,47.5,Good,
366,NIT,National Institute of Technology Sikkim,410P,Artificial Intelligence and Machine Learning,45.5,No-data,
367,NIT,"National Institute of Technology, Mizoram",4124,Mathematics and Computing,44.7,Out,
368,NIT,"National Institute of Technology, Srinagar",4146,Information Technology,43.5,Good,
369,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",4110,Computer Science and Engineering,41.5,SAFE,
370,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",4110,Computer Science and Engineering,41.5,SAFE,
371,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,4110,Computer Science and Engineering,41.5,Out,
372,IIIT,Indian Institute of Information Technology Surat,4110,Computer Science and Engineering,41.5,Good,
373,IIIT,"Indian Institute of Information Technology, Agartala",4110,Computer Science and Engineering,41.5,SAFE,
374,IIIT,"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",4110,Computer Science and Engineering,41.5,SAFE,
375,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",410J,Computer Science and Engineering (Cyber Security),41.5,Good,
376,IIIT,Indian Institute of Information Technology Surat,410J,Computer Science and Engineering (Cyber Security),41.5,Reach,
377,IIIT,"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",410J,Computer Science and Engineering (Cyber Security),41.5,No-data,
378,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,4195,Computer Science and Engineering with specialization in Cyber Security,41.5,Out,
379,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,413H,Computer Science and Engineering with specialization in Quantum Technologies,41.5,Out,
380,NIT,National Institute of Technology Agartala,4114,Electronics and Communication Engineering,41.5,Good,
381,NIT,National Institute of Technology Meghalaya,4114,Electronics and Communication Engineering,41.5,Good,
382,NIT,National Institute of Technology Nagaland,4114,Electronics and Communication Engineering,41.5,SAFE,
383,NIT,National Institute of Technology Sikkim,4114,Electronics and Communication Engineering,41.5,SAFE,
384,NIT,National Institute of Technology Arunachal Pradesh,4114,Electronics and Communication Engineering,41.5,SAFE,
385,NIT,"National Institute of Technology, Manipur",4114,Electronics and Communication Engineering,41.5,SAFE,
386,NIT,"National Institute of Technology, Manipur",5234,Electronics and Communication Engineering,41.5,No-data,
387,NIT,"National Institute of Technology, Mizoram",4114,Electronics and Communication Engineering,41.5,SAFE,
388,NIT,"National Institute of Technology, Srinagar",4114,Electronics and Communication Engineering,41.5,SAFE,
389,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",411J,Computer Science & Engineering (Data Science and Analytics),40.3,No-data,
390,IIIT,Indian Institute of Information Technology Surat,410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),40.3,Borderline,
391,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",412G,Computer Science and Engineering (Artificial Intelligence),40.3,No-data,
392,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",412E,Computer Science and Engineering (Data Science),40.3,Out,
393,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,410R,Computer Science and Engineering with specialization in Artificial Intelligence and Data Science,40.3,Out,
394,NIT,National Institute of Technology Agartala,4142,Electronics and Instrumentation Engineering,40.3,SAFE,
395,NIT,National Institute of Technology Nagaland,4142,Electronics and Instrumentation Engineering,40.3,SAFE,
396,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",5418,B.Tech. (Computer Science and Engineering) - MBA,40.0,Out,
397,GFTI,"Assam University, Silchar",4110,Computer Science and Engineering,40.0,Good,
398,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",4110,Computer Science and Engineering,40.0,SAFE,
399,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4110,Computer Science and Engineering,40.0,SAFE,
400,GFTI,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",4110,Computer Science and Engineering,40.0,SAFE,
401,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",4110,Computer Science and Engineering,40.0,No-data,
402,GFTI,Sant Longowal Institute of Engineering and Technology,4110,Computer Science and Engineering,40.0,SAFE,
403,GFTI,Sant Longowal Institute of Engineering and Technology,5216,Computer Science and Engineering,40.0,SAFE,
404,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",4110,Computer Science and Engineering,40.0,Out,
405,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",4110,Computer Science and Engineering,40.0,SAFE,
406,GFTI,"Central institute of Technology Kokrajar, Assam",4110,Computer Science and Engineering,40.0,SAFE,
407,GFTI,"Puducherry Technological University, Puducherry",4110,Computer Science and Engineering,40.0,SAFE,
408,GFTI,"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",4110,Computer Science and Engineering,40.0,Out,
409,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",4110,Computer Science and Engineering,40.0,No-data,
410,GFTI,Central University of Jammu,4110,Computer Science and Engineering,40.0,SAFE,
411,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",4110,Computer Science and Engineering,40.0,SAFE,
412,GFTI,Central University of Haryana,4110,Computer Science and Engineering,40.0,SAFE,
413,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",4110,Computer Science and Engineering,40.0,SAFE,
414,GFTI,CU Jharkhand,4110,Computer Science and Engineering,40.0,Out,
415,GFTI,Shri G. S. Institute of Technology and Science Indore,4110,Computer Science and Engineering,40.0,Out,
416,GFTI,"Central University of Punjab, Bathinda",4110,Computer Science and Engineering,40.0,No-data,
417,GFTI,"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)",413K,"Computer Science and Engineering (Internet of Things, Cyber Security including Block Chain Technology )",40.0,SAFE,
418,GFTI,"National Institute of Electronics and Information Technology, Gorakhpur (UP)",413L,Computer Science and Engineering with minor in AI and ML,40.0,SAFE,
419,GFTI,Central University of Jammu,4195,Computer Science and Engineering with specialization in Cyber Security,40.0,SAFE,
420,IIIT,"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",4185,Artificial Intelligence,39.5,SAFE,
421,NIT,National Institute of Technology Agartala,4111,Electrical Engineering,39.5,SAFE,
422,NIT,National Institute of Technology Arunachal Pradesh,4111,Electrical Engineering,39.5,SAFE,
423,NIT,"National Institute of Technology, Manipur",4111,Electrical Engineering,39.5,SAFE,
424,NIT,"National Institute of Technology, Manipur",5217,Electrical Engineering,39.5,No-data,
425,NIT,"National Institute of Technology, Mizoram",4111,Electrical Engineering,39.5,SAFE,
426,NIT,"National Institute of Technology, Srinagar",4111,Electrical Engineering,39.5,SAFE,
427,NIT,National Institute of Technology Meghalaya,4144,Electrical and Electronics Engineering,39.5,SAFE,
428,NIT,National Institute of Technology Nagaland,4144,Electrical and Electronics Engineering,39.5,SAFE,
429,NIT,National Institute of Technology Sikkim,4144,Electrical and Electronics Engineering,39.5,SAFE,
430,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",4603,Computer Science Engineering (Artificial Intelligence),38.8,SAFE,
431,GFTI,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",410E,Computer Science Engineering (Artificial lntelligence and Machine Learning),38.8,No-data,
432,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",4604,Computer Science Engineering (Data Science),38.8,SAFE,
433,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),38.8,No-data,
434,GFTI,"National Institute of Electronics and Information Technology, Aizawl",410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),38.8,No-data,
435,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",4196,Computer Science and Engineering with Major in Artificial Intelligence,38.8,SAFE,
436,IIIT,Indian Institute of Information Technology Surat,411F,B.Tech in Mathematics and Computing,38.7,No-data,
437,GFTI,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",413R,Artificial Intelligence & Data Science - Aviation Systems,38.0,No-data,
438,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4188,Artificial Intelligence and Data Science,38.0,SAFE,
439,GFTI,Sant Longowal Institute of Engineering and Technology,4188,Artificial Intelligence and Data Science,38.0,SAFE,
440,GFTI,"Puducherry Technological University, Puducherry",4188,Artificial Intelligence and Data Science,38.0,No-data,
441,GFTI,National Institute of Technical Teachers Training and Research Bhopal,410P,Artificial Intelligence and Machine Learning,38.0,No-data,
442,GFTI,"Central University of Punjab, Bathinda",523V,Artificial Intelligence and Machine Learning,38.0,No-data,
443,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",411V,B.Tech in Artificial Intelligenece and Data Science (Transportation and Logistics),38.0,Out,
444,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",4146,Information Technology,37.5,SAFE,
445,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",411F,B.Tech in Mathematics and Computing,37.2,SAFE,
446,GFTI,Central University of Jammu,4124,Mathematics and Computing,37.2,Out,
447,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",5506,Mathematics and Computing,37.2,No-data,
448,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,410M,Electronics and Communication Engineering with specialization in VLSI and Embedded Systems,36.7,Out,
449,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4146,Information Technology,36.0,SAFE,
450,GFTI,"Mizoram University, Aizawl",4146,Information Technology,36.0,SAFE,
451,GFTI,"Puducherry Technological University, Puducherry",4146,Information Technology,36.0,SAFE,
452,GFTI,"North-Eastern Hill University, Shillong",4146,Information Technology,36.0,SAFE,
453,GFTI,Shri G. S. Institute of Technology and Science Indore,4146,Information Technology,36.0,Out,
454,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",4114,Electronics and Communication Engineering,35.5,SAFE,
455,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,4114,Electronics and Communication Engineering,35.5,Out,
456,IIIT,Indian Institute of Information Technology Surat,4114,Electronics and Communication Engineering,35.5,SAFE,
457,IIIT,"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",4114,Electronics and Communication Engineering,35.5,SAFE,
458,GFTI,"National Institute of Electronics and Information Technology, Ropar (Punjab)",410Z,Electronics and Communication Engineering (VLSI Design and Technology),35.2,No-data,
459,GFTI,"National Institute of Electronics and Information Technology, Gorakhpur (UP)",413M,B. Tech in Electronics and Communication Engineering with minor in Wearable Electronics,34.0,SAFE,
460,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",5420,B.Tech. (Electronics and Communication Engineering) - MBA,34.0,Out,
461,GFTI,"Assam University, Silchar",4114,Electronics and Communication Engineering,34.0,SAFE,
462,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",4114,Electronics and Communication Engineering,34.0,SAFE,
463,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4114,Electronics and Communication Engineering,34.0,SAFE,
464,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",4114,Electronics and Communication Engineering,34.0,SAFE,
465,GFTI,Sant Longowal Institute of Engineering and Technology,4114,Electronics and Communication Engineering,34.0,SAFE,
466,GFTI,"Mizoram University, Aizawl",4114,Electronics and Communication Engineering,34.0,SAFE,
467,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",4114,Electronics and Communication Engineering,34.0,Out,
468,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",4114,Electronics and Communication Engineering,34.0,Out,
469,GFTI,"Central institute of Technology Kokrajar, Assam",4114,Electronics and Communication Engineering,34.0,Out,
470,GFTI,"Puducherry Technological University, Puducherry",4114,Electronics and Communication Engineering,34.0,SAFE,
471,GFTI,"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",4114,Electronics and Communication Engineering,34.0,Out,
472,GFTI,"North-Eastern Hill University, Shillong",4114,Electronics and Communication Engineering,34.0,SAFE,
473,GFTI,Central University of Jammu,4114,Electronics and Communication Engineering,34.0,SAFE,
474,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",4114,Electronics and Communication Engineering,34.0,Out,
475,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",4114,Electronics and Communication Engineering,34.0,SAFE,
476,GFTI,National Institute of Technical Teachers Training and Research Bhopal,4114,Electronics and Communication Engineering,34.0,No-data,
477,GFTI,Central University of Jammu,410I,Electronics and Communication Engineering (Avionics),34.0,Out,
478,GFTI,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",410I,Electronics and Communication Engineering (Avionics),34.0,SAFE,
479,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",411R,B.Tech in Electronics & Communication Engineering (Rail Engineering),32.8,Out,
480,GFTI,"Puducherry Technological University, Puducherry",4142,Electronics and Instrumentation Engineering,32.8,SAFE,
481,GFTI,Shri G. S. Institute of Technology and Science Indore,4142,Electronics and Instrumentation Engineering,32.8,Out,
482,GFTI,Shri G. S. Institute of Technology and Science Indore,4153,Electronics and Telecommunication Engineering,32.8,Out,
483,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",411S,B.Tech in Electrical Engineering ( Rail  Engineering),32.0,Out,
484,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",4111,Electrical Engineering,32.0,SAFE,
485,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4111,Electrical Engineering,32.0,SAFE,
486,GFTI,Sant Longowal Institute of Engineering and Technology,4111,Electrical Engineering,32.0,SAFE,
487,GFTI,Sant Longowal Institute of Engineering and Technology,5217,Electrical Engineering,32.0,Out,
488,GFTI,"Mizoram University, Aizawl",4111,Electrical Engineering,32.0,SAFE,
489,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",4111,Electrical Engineering,32.0,SAFE,
490,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",4111,Electrical Engineering,32.0,SAFE,
491,GFTI,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",4111,Electrical Engineering,32.0,No-data,
492,GFTI,"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",4111,Electrical Engineering,32.0,Out,
493,GFTI,Central University of Haryana,4111,Electrical Engineering,32.0,SAFE,
494,GFTI,CU Jharkhand,4111,Electrical Engineering,32.0,Out,
495,GFTI,Islamic University of Science and Technology Kashmir,4111,Electrical Engineering,32.0,No-data,
496,GFTI,Shri G. S. Institute of Technology and Science Indore,4111,Electrical Engineering,32.0,Out,
497,GFTI,National Institute of Technical Teachers Training and Research Bhopal,4111,Electrical Engineering,32.0,No-data,
498,GFTI,"Puducherry Technological University, Puducherry",4144,Electrical and Electronics Engineering,32.0,Out,
499,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",4144,Electrical and Electronics Engineering,32.0,SAFE,
500,GFTI,"Central institute of Technology Kokrajar, Assam",4121,Instrumentation Engineering,28.0,Out,
501,GFTI,Sant Longowal Institute of Engineering and Technology,4148,Instrumentation and Control Engineering,28.0,Out,
502,NIT,National Institute of Technology Patna,4110,Computer Science and Engineering,47.5,Out,Bihar-last
503,NIT,National Institute of Technology Patna,520I,Computer Science and Engineering with Specialization in Cyber Security,47.5,Borderline,Bihar-last
504,NIT,National Institute of Technology Patna,520H,Computer Science and Engineering with Specialization in Data Science,46.3,Out,Bihar-last
505,NIT,National Institute of Technology Patna,4188,Artificial Intelligence and Data Science,45.5,Out,Bihar-last
506,NIT,National Institute of Technology Patna,520O,Mathematics and Computing Technology,44.7,Out,Bihar-last
507,NIT,National Institute of Technology Patna,411H,Electronics Engineering (VLSI Design and Technology),42.7,SAFE,Bihar-last
508,NIT,National Institute of Technology Patna,520J,Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design,42.7,Good,Bihar-last
509,IIIT,Indian Institute of Information Technology Bhagalpur,4110,Computer Science and Engineering,41.5,SAFE,Bihar-last
510,NIT,National Institute of Technology Patna,4114,Electronics and Communication Engineering,41.5,Good,Bihar-last
511,GFTI,"Birla Institute of Technology, Patna Off-Campus",4110,Computer Science and Engineering,40.0,SAFE,Bihar-last
512,GFTI,"National Institute of Electronics and Information Technology, Patna (Bihar)",4110,Computer Science and Engineering,40.0,Good,Bihar-last
