Priority,Type,Institute,BranchCode,Branch,Composite,Reach,Note
64,NIT,"National Institute of Technology, Kurukshetra",4146,Information Technology,86.25,Out,
65,NIT,Motilal Nehru National Institute of Technology Allahabad,4111,Electrical Engineering,86.0,Reach,
66,NIT,National Institute of Technology Durgapur,4114,Electronics and Communication Engineering,85.75,Out,
67,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4110,Computer Science and Engineering,85.75,Out,
68,NIT,"National Institute of Technology, Tiruchirappalli",4125,Mechanical Engineering,85.7,Out,
69,NIT,"National Institute of Technology, Kurukshetra",412B,Microelectronics & VLSI Engineering,85.45,Out,
70,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4153,Electronics and Telecommunication Engineering,85.3,Good,
71,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4111,Electrical Engineering,85.25,Good,
72,NIT,Maulana Azad National Institute of Technology Bhopal,4114,Electronics and Communication Engineering,85.0,Reach,
73,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4110,Computer Science and Engineering,85.0,Out,
74,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5216,Computer Science and Engineering,85.0,Reach,
75,NIT,"National Institute of Technology Karnataka, Surathkal",4125,Mechanical Engineering,84.95,Out,
76,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4111,Electrical Engineering,84.5,SAFE,
77,NIT,"National Institute of Technology, Kurukshetra",4114,Electronics and Communication Engineering,84.25,Out,
78,NIT,"National Institute of Technology, Kurukshetra",5234,Electronics and Communication Engineering,84.25,Out,
79,GFTI,"Punjab Engineering College, Chandigarh",4110,Computer Science and Engineering,84.25,No-data,
80,NIT,"National Institute of Technology, Rourkela",4125,Mechanical Engineering,84.2,Borderline,
81,NIT,"National Institute of Technology, Tiruchirappalli",4145,Production Engineering,84.1,Good,
82,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4196,Computer Science and Engineering with Major in Artificial Intelligence,83.8,Out,
83,NIT,National Institute of Technology Durgapur,4111,Electrical Engineering,83.75,Good,
84,NIT,"National Institute of Technology, Jamshedpur",4114,Electronics and Communication Engineering,83.5,Borderline,
85,IIIT,Indian Institute of Information Technology Lucknow,4184,Computer Science,83.5,Reach,
86,IIIT,Indian Institute of Information Technology Lucknow,410C,Computer Science and Business,83.5,Borderline,
87,NIT,National Institute of Technology Calicut,4125,Mechanical Engineering,83.45,Borderline,
88,NIT,"National Institute of Technology, Warangal",4107,Chemical Engineering,83.25,Reach,
89,NIT,"National Institute of Technology, Warangal",5210,Chemical Engineering,83.25,Out,
90,IIIT,"Indian Institute of Information Technology, Allahabad",5424,B. Tech. Information Technology-Business Informatics (IT- BIn) - Master of Business Administration (MBA),83.25,No-data,
91,IIIT,"Indian Institute of Information Technology, Allahabad",4146,Information Technology,83.25,Out,
92,IIIT,"Indian Institute of Information Technology, Allahabad",5280,Information Technology,83.25,No-data,
93,IIIT,"Indian Institute of Information Technology, Allahabad",4186,Information Technology-Business Informatics,83.25,Out,
94,GFTI,"Punjab Engineering College, Chandigarh",4603,Computer Science Engineering (Artificial Intelligence),83.05,No-data,
95,GFTI,"Punjab Engineering College, Chandigarh",4604,Computer Science Engineering (Data Science),83.05,No-data,
96,NIT,Maulana Azad National Institute of Technology Bhopal,4111,Electrical Engineering,83.0,Good,
97,NIT,Maulana Azad National Institute of Technology Bhopal,413N,Electrical Engineering with E Mobility,83.0,No-data,
98,NIT,Maulana Azad National Institute of Technology Bhopal,412X,Energy and Electrical Vehicle Engineering,83.0,Out,
99,NIT,"National Institute of Technology, Silchar",4114,Electronics and Communication Engineering,82.75,Borderline,
100,IIIT,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",4110,Computer Science and Engineering,82.75,SAFE,
101,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4125,Mechanical Engineering,82.7,Good,
102,NIT,"National Institute of Technology, Rourkela",5258,Ceramic Engineering and M.Tech Industrial Ceramic,82.6,Out,
103,NIT,"National Institute of Technology, Rourkela",4155,Industrial Design,82.6,Out,
104,NIT,"National Institute of Technology, Tiruchirappalli",4107,Chemical Engineering,82.5,Out,
105,IIIT,Indian Institute of Information Technology Lucknow,4190,Computer Science and Artificial Intelligence,82.3,Borderline,
106,NIT,"National Institute of Technology, Kurukshetra",4111,Electrical Engineering,82.25,Good,
107,NIT,"National Institute of Technology, Kurukshetra",5217,Electrical Engineering,82.25,Out,
108,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410G,Computer Science Engineering (Human Computer lnteraction and Gaming Technology),82.0,Good,
109,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,4110,Computer Science and Engineering,82.0,Good,
110,NIT,Malaviya National Institute of Technology Jaipur,4125,Mechanical Engineering,81.95,Borderline,
111,NIT,National Institute of Technology Calicut,4145,Production Engineering,81.85,SAFE,
112,NIT,"National Institute of Technology Karnataka, Surathkal",4107,Chemical Engineering,81.75,Good,
113,NIT,"National Institute of Technology, Silchar",4142,Electronics and Instrumentation Engineering,81.55,Good,
114,NIT,"National Institute of Technology, Jamshedpur",4111,Electrical Engineering,81.5,Good,
115,GFTI,"Punjab Engineering College, Chandigarh",4124,Mathematics and Computing,81.45,No-data,
116,NIT,"National Institute of Technology, Warangal",4109,Civil Engineering,81.25,Out,
117,IIIT,"Indian Institute of Information Technology, Allahabad",4114,Electronics and Communication Engineering,81.25,Reach,
118,IIIT,"Indian Institute of Information Technology, Allahabad",5234,Electronics and Communication Engineering,81.25,No-data,
119,IIIT,Indian Institute of Information Technology (IIIT) Pune,4110,Computer Science and Engineering,81.25,Good,
120,NIT,Motilal Nehru National Institute of Technology Allahabad,4125,Mechanical Engineering,81.2,Borderline,
121,NIT,"National Institute of Technology, Rourkela",4107,Chemical Engineering,81.0,Reach,
122,NIT,"National Institute of Technology, Rourkela",5210,Chemical Engineering,81.0,No-data,
123,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410E,Computer Science Engineering (Artificial lntelligence and Machine Learning),80.8,No-data,
124,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410F,Computer Science Engineering (Data Science and Analytics),80.8,Good,
125,NIT,"National Institute of Technology, Silchar",4111,Electrical Engineering,80.75,Good,
126,IIIT,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",4188,Artificial Intelligence and Data Science,80.75,SAFE,
127,NIT,"National Institute of Technology, Tiruchirappalli",4109,Civil Engineering,80.5,Out,
128,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4114,Electronics and Communication Engineering,80.5,Good,
129,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4110,Computer Science and Engineering,80.5,SAFE,
130,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",410J,Computer Science and Engineering (Cyber Security),80.5,No-data,
131,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4125,Mechanical Engineering,80.45,SAFE,
132,NIT,National Institute of Technology Calicut,4107,Chemical Engineering,80.25,Good,
133,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",523T,B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems,80.2,Good,
134,NIT,"National Institute of Technology Karnataka, Surathkal",4109,Civil Engineering,79.75,Reach,
135,NIT,National Institute of Technology Delhi,4110,Computer Science and Engineering,79.75,Out,
136,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4125,Mechanical Engineering,79.7,SAFE,
137,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4107,Chemical Engineering,79.5,SAFE,
138,NIT,"Visvesvaraya National Institute of Technology, Nagpur",413Y,Chemical Technology (Bioprocess Technology),79.5,No-data,
139,IIIT,Indian Institute of Information Technology Lucknow,4146,Information Technology,79.5,Out,
140,GFTI,"Punjab Engineering College, Chandigarh",411H,Electronics Engineering (VLSI Design and Technology),79.45,No-data,
141,NIT,"National Institute of Technology, Warangal",4127,Metallurgical and Materials Engineering,79.25,Borderline,
142,NIT,"National Institute of Technology, Warangal",5243,Metallurgical and Materials Engineering,79.25,Out,
143,IIIT,Indian Institute of Information Technology (IIIT) Pune,4188,Artificial Intelligence and Data Science,79.25,No-data,
144,NIT,"National Institute of Technology, Rourkela",4109,Civil Engineering,79.0,Borderline,
145,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",521Q,B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems,79.0,SAFE,
146,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4114,Electronics and Communication Engineering,79.0,Good,
147,NIT,National Institute of Technology Raipur,4110,Computer Science and Engineering,79.0,Out,
148,NIT,National Institute of Technology Durgapur,4125,Mechanical Engineering,78.95,SAFE,
149,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",410B,Industrial Chemistry,78.85,SAFE,
150,NIT,Malaviya National Institute of Technology Jaipur,4107,Chemical Engineering,78.75,SAFE,
151,NIT,"National Institute of Technology, Tiruchirappalli",4127,Metallurgical and Materials Engineering,78.5,Reach,
152,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4185,Artificial Intelligence,78.5,SAFE,
153,NIT,National Institute of Technology Calicut,4109,Civil Engineering,78.25,Borderline,
154,GFTI,"Punjab Engineering College, Chandigarh",4114,Electronics and Communication Engineering,78.25,No-data,
155,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4110,Computer Science and Engineering,78.25,Good,
156,NIT,Maulana Azad National Institute of Technology Bhopal,4125,Mechanical Engineering,78.2,SAFE,
157,NIT,Motilal Nehru National Institute of Technology Allahabad,4107,Chemical Engineering,78.0,Good,
158,NIT,"National Institute of Technology Karnataka, Surathkal",4127,Metallurgical and Materials Engineering,77.75,Good,
159,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4144,Electrical and Electronics Engineering,77.75,Good,
160,NIT,National Institute of Technology Delhi,4188,Artificial Intelligence and Data Science,77.75,Out,
161,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4124,Mathematics and Computing,77.7,No-data,
162,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4109,Civil Engineering,77.5,SAFE,
163,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4110,Computer Science and Engineering,77.5,SAFE,
164,NIT,"National Institute of Technology, Kurukshetra",4125,Mechanical Engineering,77.45,SAFE,
165,NIT,"National Institute of Technology, Kurukshetra",5233,Mechanical Engineering,77.45,SAFE,
166,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4107,Chemical Engineering,77.25,SAFE,
167,GFTI,"Birla Institute of Technology, Mesra, Ranchi",410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),77.05,No-data,
168,NIT,"National Institute of Technology, Rourkela",4106,Ceramic Engineering,77.0,SAFE,
169,NIT,"National Institute of Technology, Rourkela",4169,Food Process Engineering,77.0,Out,
170,NIT,"National Institute of Technology, Rourkela",5509,Life Science,77.0,Out,
171,NIT,"National Institute of Technology, Rourkela",4127,Metallurgical and Materials Engineering,77.0,Good,
172,NIT,"National Institute of Technology, Rourkela",5243,Metallurgical and Materials Engineering,77.0,Out,
