Priority,Tier,Type,Institute,BranchCode,Branch,Reach
65,GOOD,NIT,Motilal Nehru National Institute of Technology Allahabad,4111,Electrical Engineering,Reach
66,GOOD,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4110,Computer Science and Engineering,Reach
67,GOOD,NIT,"National Institute of Technology, Kurukshetra",4146,Information Technology,Out
68,GOOD,NIT,"National Institute of Technology, Warangal",4125,Mechanical Engineering,Borderline
69,GOOD,NIT,National Institute of Technology Durgapur,4114,Electronics and Communication Engineering,Out
70,GOOD,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4111,Electrical Engineering,Good
71,GOOD,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4153,Electronics and Telecommunication Engineering,Good
72,GOOD,NIT,"National Institute of Technology, Tiruchirappalli",4107,Chemical Engineering,Out
73,GOOD,NIT,"National Institute of Technology, Rourkela",5258,Ceramic Engineering and M.Tech Industrial Ceramic,Out
74,GOOD,NIT,"National Institute of Technology, Rourkela",4155,Industrial Design,Out
75,GOOD,NIT,"National Institute of Technology, Kurukshetra",412B,Microelectronics & VLSI Engineering,Out
76,GOOD,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4110,Computer Science and Engineering,Out
77,GOOD,NIT,National Institute of Technology Calicut,4125,Mechanical Engineering,Borderline
78,GOOD,NIT,Maulana Azad National Institute of Technology Bhopal,4114,Electronics and Communication Engineering,Reach
79,GOOD,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4111,Electrical Engineering,SAFE
80,GOOD,NIT,"National Institute of Technology Karnataka, Surathkal",4107,Chemical Engineering,Good
81,GOOD,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4110,Computer Science and Engineering,Out
82,GOOD,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5216,Computer Science and Engineering,Reach
83,GOOD,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4125,Mechanical Engineering,Good
84,GOOD,NIT,"National Institute of Technology, Kurukshetra",4114,Electronics and Communication Engineering,Out
85,GOOD,NIT,"National Institute of Technology, Kurukshetra",5234,Electronics and Communication Engineering,Out
86,GOOD,NIT,National Institute of Technology Durgapur,4111,Electrical Engineering,Good
87,GOOD,NIT,"National Institute of Technology, Rourkela",4107,Chemical Engineering,Reach
88,GOOD,NIT,"National Institute of Technology, Rourkela",5210,Chemical Engineering,No-data
89,GOOD,NIT,"National Institute of Technology, Tiruchirappalli",4109,Civil Engineering,Out
90,GOOD,NIT,National Institute of Technology Calicut,4145,Production Engineering,SAFE
91,GOOD,IIIT,Indian Institute of Information Technology Lucknow,4184,Computer Science,Reach
92,GOOD,IIIT,Indian Institute of Information Technology Lucknow,410C,Computer Science and Business,Borderline
93,GOOD,IIIT,"Indian Institute of Information Technology, Allahabad",5424,B. Tech. Information Technology-Business Informatics (IT- BIn) - Master of Business Administration (MBA),No-data
94,GOOD,IIIT,"Indian Institute of Information Technology, Allahabad",4146,Information Technology,Out
95,GOOD,IIIT,"Indian Institute of Information Technology, Allahabad",5280,Information Technology,No-data
96,GOOD,IIIT,"Indian Institute of Information Technology, Allahabad",4186,Information Technology-Business Informatics,Out
97,GOOD,NIT,Malaviya National Institute of Technology Jaipur,4125,Mechanical Engineering,Borderline
98,GOOD,NIT,"National Institute of Technology, Jamshedpur",4114,Electronics and Communication Engineering,Borderline
99,GOOD,NIT,Maulana Azad National Institute of Technology Bhopal,4111,Electrical Engineering,Good
100,GOOD,NIT,Maulana Azad National Institute of Technology Bhopal,413N,Electrical Engineering with E Mobility,No-data
101,GOOD,NIT,Maulana Azad National Institute of Technology Bhopal,412X,Energy and Electrical Vehicle Engineering,Out
102,GOOD,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4196,Computer Science and Engineering with Major in Artificial Intelligence,Out
103,GOOD,NIT,"National Institute of Technology, Warangal",4107,Chemical Engineering,Reach
104,GOOD,NIT,"National Institute of Technology, Warangal",5210,Chemical Engineering,Out
105,GOOD,NIT,"National Institute of Technology Karnataka, Surathkal",4109,Civil Engineering,Reach
106,GOOD,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410G,Computer Science Engineering (Human Computer lnteraction and Gaming Technology),Good
107,GOOD,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,4110,Computer Science and Engineering,Good
108,GOOD,NIT,Motilal Nehru National Institute of Technology Allahabad,4125,Mechanical Engineering,Borderline
109,GOOD,NIT,"National Institute of Technology, Silchar",4114,Electronics and Communication Engineering,Borderline
