Priority,Tier,Type,Institute,BranchCode,Branch,Reach
271,Safety-tail,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",4110,Computer Science and Engineering,SAFE
272,Safety-tail,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",410J,Computer Science and Engineering (Cyber Security),Good
273,Safety-tail,IIIT,"Indian Institute of Information Technology, Agartala",4110,Computer Science and Engineering,SAFE
274,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4185,Artificial Intelligence,No-data
275,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4187,Data Science and Engineering,Reach
276,Safety-tail,NIT,National Institute of Technology Delhi,4188,Artificial Intelligence and Data Science,Out
277,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4124,Mathematics and Computing,Reach
278,Safety-tail,NIT,National Institute of Technology Hamirpur,4124,Mathematics and Computing,Borderline
279,Safety-tail,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,410R,Computer Science and Engineering with specialization in Artificial Intelligence and Data Science,Out
280,Safety-tail,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,4602,Computer Science and Engineering (with Specialization of Data Science and Artificial Intelligence),SAFE
281,Safety-tail,IIIT,Indian Institute of Information Technology Bhopal,412G,Computer Science and Engineering (Artificial Intelligence),SAFE
282,Safety-tail,IIIT,Indian Institute of Information Technology Bhopal,412E,Computer Science and Engineering (Data Science),Good
283,Safety-tail,IIIT,Indian Institute of Information Technology Surat,410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),Borderline
284,Safety-tail,IIIT,Indian Institute of Information Technology Tiruchirappalli,412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),Reach
285,Safety-tail,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",411J,Computer Science & Engineering (Data Science and Analytics),No-data
286,Safety-tail,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",412G,Computer Science and Engineering (Artificial Intelligence),No-data
287,Safety-tail,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",412E,Computer Science and Engineering (Data Science),Out
288,Safety-tail,GFTI,"Assam University, Silchar",4110,Computer Science and Engineering,Good
289,Safety-tail,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",4110,Computer Science and Engineering,SAFE
290,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4110,Computer Science and Engineering,Good
291,Safety-tail,GFTI,CU Jharkhand,4110,Computer Science and Engineering,Out
292,Safety-tail,GFTI,Central University of Jammu,4110,Computer Science and Engineering,SAFE
293,Safety-tail,GFTI,Central University of Jammu,4195,Computer Science and Engineering with specialization in Cyber Security,SAFE
294,Safety-tail,GFTI,"Central University of Punjab, Bathinda",4110,Computer Science and Engineering,No-data
295,Safety-tail,GFTI,"Central University of Rajasthan, Rajasthan",4110,Computer Science and Engineering,SAFE
296,Safety-tail,GFTI,"Central institute of Technology Kokrajar, Assam",4110,Computer Science and Engineering,SAFE
297,Safety-tail,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",4110,Computer Science and Engineering,No-data
298,Safety-tail,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",4110,Computer Science and Engineering,SAFE
299,Safety-tail,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",4110,Computer Science and Engineering,SAFE
300,Safety-tail,GFTI,"International Institute of Information Technology, Bhubaneswar",4110,Computer Science and Engineering,Good
301,Safety-tail,GFTI,"International Institute of Information Technology, Naya Raipur",4110,Computer Science and Engineering,SAFE
302,Safety-tail,GFTI,"Jawaharlal Nehru University, Delhi",4110,Computer Science and Engineering,Good
303,Safety-tail,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",4110,Computer Science and Engineering,No-data
304,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)",413K,"Computer Science and Engineering (Internet of Things, Cyber Security including Block Chain Technology )",SAFE
305,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",4110,Computer Science and Engineering,SAFE
306,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Gorakhpur (UP)",413L,Computer Science and Engineering with minor in AI and ML,SAFE
307,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4110,Computer Science and Engineering,SAFE
308,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,4110,Computer Science and Engineering,SAFE
309,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,5216,Computer Science and Engineering,SAFE
310,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",5418,B.Tech. (Computer Science and Engineering) - MBA,Out
311,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",4110,Computer Science and Engineering,Out
312,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4110,Computer Science and Engineering,SAFE
313,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4110,Computer Science and Engineering,Out
314,Safety-tail,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",4110,Computer Science and Engineering,SAFE
315,Safety-tail,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4188,Artificial Intelligence and Data Science,Borderline
316,Safety-tail,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",523U,Artificial Intelligence and Data Science,No-data
317,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4146,Information Technology,Reach
318,Safety-tail,NIT,National Institute of Technology Raipur,4146,Information Technology,Reach
319,Safety-tail,NIT,"National Institute of Technology, Srinagar",4146,Information Technology,Good
320,Safety-tail,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,411F,B.Tech in Mathematics and Computing,SAFE
321,Safety-tail,IIIT,Indian Institute of Information Technology Bhopal,411F,B.Tech in Mathematics and Computing,SAFE
322,Safety-tail,IIIT,Indian Institute of Information Technology Surat,411F,B.Tech in Mathematics and Computing,No-data
323,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",410V,Electronics and VLSI Engineering,Good
324,Safety-tail,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),No-data
325,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),No-data
326,Safety-tail,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",4603,Computer Science Engineering (Artificial Intelligence),SAFE
327,Safety-tail,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",4604,Computer Science Engineering (Data Science),SAFE
328,Safety-tail,GFTI,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",410E,Computer Science Engineering (Artificial lntelligence and Machine Learning),No-data
329,Safety-tail,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",4196,Computer Science and Engineering with Major in Artificial Intelligence,SAFE
330,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Aizawl",410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),No-data
331,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",5511,Quantitative Economics & Data Science,Out
332,Safety-tail,GFTI,"Central University of Punjab, Bathinda",523V,Artificial Intelligence and Machine Learning,No-data
333,Safety-tail,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",411V,B.Tech in Artificial Intelligenece and Data Science (Transportation and Logistics),Out
334,Safety-tail,GFTI,"International Institute of Information Technology, Naya Raipur",4181,Data Science and Artificial Intelligence,Reach
335,Safety-tail,GFTI,National Institute of Technical Teachers Training and Research Bhopal,410P,Artificial Intelligence and Machine Learning,No-data
336,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4188,Artificial Intelligence and Data Science,No-data
337,Safety-tail,GFTI,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",413R,Artificial Intelligence & Data Science - Aviation Systems,No-data
338,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,4188,Artificial Intelligence and Data Science,SAFE
339,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4188,Artificial Intelligence and Data Science,SAFE
340,Safety-tail,IIIT,Indian Institute of Information Technology Bhopal,4146,Information Technology,SAFE
341,Safety-tail,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",4146,Information Technology,SAFE
342,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4114,Electronics and Communication Engineering,Reach
343,Safety-tail,NIT,National Institute of Technology Delhi,4114,Electronics and Communication Engineering,Out
344,Safety-tail,NIT,National Institute of Technology Goa,4114,Electronics and Communication Engineering,Reach
345,Safety-tail,NIT,National Institute of Technology Hamirpur,4114,Electronics and Communication Engineering,Good
346,Safety-tail,NIT,National Institute of Technology Hamirpur,5234,Electronics and Communication Engineering,Borderline
347,Safety-tail,NIT,National Institute of Technology Puducherry,4114,Electronics and Communication Engineering,Reach
348,Safety-tail,NIT,National Institute of Technology Raipur,4114,Electronics and Communication Engineering,Reach
349,Safety-tail,NIT,"National Institute of Technology, Andhra Pradesh",4114,Electronics and Communication Engineering,Good
350,Safety-tail,NIT,"National Institute of Technology, Srinagar",4114,Electronics and Communication Engineering,SAFE
351,Safety-tail,NIT,"National Institute of Technology, Uttarakhand",4114,Electronics and Communication Engineering,SAFE
352,Safety-tail,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",5506,Mathematics and Computing,No-data
353,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",5506,Mathematics and Computing,SAFE
354,Safety-tail,GFTI,Central University of Jammu,4124,Mathematics and Computing,Out
355,Safety-tail,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",411F,B.Tech in Mathematics and Computing,SAFE
356,Safety-tail,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,410M,Electronics and Communication Engineering with specialization in VLSI and Embedded Systems,Out
357,Safety-tail,IIIT,Indian Institute of Information Technology Tiruchirappalli,413G,Electronics and Communication Engineering (VLSI Design),Borderline
358,Safety-tail,NIT,National Institute of Technology Agartala,4110,Computer Science and Engineering,Borderline
359,Safety-tail,NIT,National Institute of Technology Arunachal Pradesh,4110,Computer Science and Engineering,Reach
360,Safety-tail,NIT,National Institute of Technology Sikkim,4110,Computer Science and Engineering,Reach
361,Safety-tail,NIT,"National Institute of Technology, Manipur",4110,Computer Science and Engineering,Good
362,Safety-tail,NIT,"National Institute of Technology, Manipur",5216,Computer Science and Engineering,No-data
363,Safety-tail,NIT,"National Institute of Technology, Mizoram",4110,Computer Science and Engineering,Good
364,Safety-tail,GFTI,"International Institute of Information Technology, Bhubaneswar",4146,Information Technology,Good
365,Safety-tail,GFTI,"Mizoram University, Aizawl",4146,Information Technology,SAFE
366,Safety-tail,GFTI,"North-Eastern Hill University, Shillong",4146,Information Technology,SAFE
367,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4146,Information Technology,SAFE
368,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4146,Information Technology,SAFE
369,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4146,Information Technology,Out
370,Safety-tail,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,4114,Electronics and Communication Engineering,Out
371,Safety-tail,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,4114,Electronics and Communication Engineering,SAFE
372,Safety-tail,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,4601,Electronics and Communication Engineering (with Specialization of Embedded Systems and Internet of Things),SAFE
373,Safety-tail,IIIT,Indian Institute of Information Technology Bhopal,4114,Electronics and Communication Engineering,SAFE
374,Safety-tail,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",5234,Electronics and Communication Engineering,SAFE
375,Safety-tail,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4174,Electronics and Communication Engineering with specialization in Design and Manufacturing,Good
376,Safety-tail,IIIT,Indian Institute of Information Technology Surat,4114,Electronics and Communication Engineering,SAFE
377,Safety-tail,IIIT,Indian Institute of Information Technology Tiruchirappalli,4114,Electronics and Communication Engineering,SAFE
378,Safety-tail,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",4114,Electronics and Communication Engineering,SAFE
379,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4111,Electrical Engineering,Good
380,Safety-tail,NIT,National Institute of Technology Delhi,4111,Electrical Engineering,Borderline
381,Safety-tail,NIT,National Institute of Technology Goa,4144,Electrical and Electronics Engineering,Good
382,Safety-tail,NIT,National Institute of Technology Hamirpur,4111,Electrical Engineering,SAFE
383,Safety-tail,NIT,National Institute of Technology Puducherry,4144,Electrical and Electronics Engineering,Borderline
384,Safety-tail,NIT,National Institute of Technology Raipur,4111,Electrical Engineering,Borderline
385,Safety-tail,NIT,"National Institute of Technology, Andhra Pradesh",4144,Electrical and Electronics Engineering,Good
386,Safety-tail,NIT,"National Institute of Technology, Srinagar",4111,Electrical Engineering,SAFE
387,Safety-tail,NIT,"National Institute of Technology, Uttarakhand",4144,Electrical and Electronics Engineering,Out
388,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Ropar (Punjab)",410Z,Electronics and Communication Engineering (VLSI Design and Technology),No-data
389,Safety-tail,NIT,National Institute of Technology Sikkim,410P,Artificial Intelligence and Machine Learning,No-data
390,Safety-tail,GFTI,"Assam University, Silchar",4114,Electronics and Communication Engineering,SAFE
391,Safety-tail,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",4114,Electronics and Communication Engineering,SAFE
392,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4114,Electronics and Communication Engineering,SAFE
393,Safety-tail,GFTI,Central University of Jammu,4114,Electronics and Communication Engineering,SAFE
394,Safety-tail,GFTI,Central University of Jammu,410I,Electronics and Communication Engineering (Avionics),Out
395,Safety-tail,GFTI,"Central University of Rajasthan, Rajasthan",4114,Electronics and Communication Engineering,SAFE
396,Safety-tail,GFTI,"Central institute of Technology Kokrajar, Assam",4114,Electronics and Communication Engineering,Out
397,Safety-tail,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",4114,Electronics and Communication Engineering,SAFE
398,Safety-tail,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",4114,Electronics and Communication Engineering,Out
399,Safety-tail,GFTI,"International Institute of Information Technology, Naya Raipur",4114,Electronics and Communication Engineering,SAFE
400,Safety-tail,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",4114,Electronics and Communication Engineering,SAFE
401,Safety-tail,GFTI,"Jawaharlal Nehru University, Delhi",4114,Electronics and Communication Engineering,SAFE
402,Safety-tail,GFTI,"Mizoram University, Aizawl",4114,Electronics and Communication Engineering,SAFE
403,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Gorakhpur (UP)",413M,B. Tech in Electronics and Communication Engineering with minor in Wearable Electronics,SAFE
404,Safety-tail,GFTI,National Institute of Technical Teachers Training and Research Bhopal,4114,Electronics and Communication Engineering,No-data
405,Safety-tail,GFTI,"North-Eastern Hill University, Shillong",4114,Electronics and Communication Engineering,SAFE
406,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4114,Electronics and Communication Engineering,SAFE
407,Safety-tail,GFTI,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",410I,Electronics and Communication Engineering (Avionics),SAFE
408,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,4114,Electronics and Communication Engineering,SAFE
409,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",5420,B.Tech. (Electronics and Communication Engineering) - MBA,Out
410,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",4114,Electronics and Communication Engineering,Out
411,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4114,Electronics and Communication Engineering,SAFE
412,Safety-tail,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",4114,Electronics and Communication Engineering,Out
413,Safety-tail,NIT,"National Institute of Technology, Mizoram",4124,Mathematics and Computing,Out
414,Safety-tail,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",411R,B.Tech in Electronics & Communication Engineering (Rail Engineering),Out
415,Safety-tail,GFTI,"International Institute of Information Technology, Bhubaneswar",4153,Electronics and Telecommunication Engineering,SAFE
416,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4142,Electronics and Instrumentation Engineering,SAFE
417,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4142,Electronics and Instrumentation Engineering,Out
418,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4153,Electronics and Telecommunication Engineering,Out
419,Safety-tail,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",4144,Electrical and Electronics Engineering,SAFE
420,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4144,Electrical and Electronics Engineering,SAFE
421,Safety-tail,GFTI,CU Jharkhand,4111,Electrical Engineering,Out
422,Safety-tail,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",411S,B.Tech in Electrical Engineering ( Rail  Engineering),Out
423,Safety-tail,GFTI,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",4111,Electrical Engineering,No-data
424,Safety-tail,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",4111,Electrical Engineering,SAFE
425,Safety-tail,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",4111,Electrical Engineering,SAFE
426,Safety-tail,GFTI,"International Institute of Information Technology, Bhubaneswar",4144,Electrical and Electronics Engineering,SAFE
427,Safety-tail,GFTI,Islamic University of Science and Technology Kashmir,4111,Electrical Engineering,No-data
428,Safety-tail,GFTI,"Mizoram University, Aizawl",4111,Electrical Engineering,SAFE
429,Safety-tail,GFTI,National Institute of Technical Teachers Training and Research Bhopal,4111,Electrical Engineering,No-data
430,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4144,Electrical and Electronics Engineering,Out
431,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,4111,Electrical Engineering,SAFE
432,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,5217,Electrical Engineering,Out
433,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",4111,Electrical Engineering,SAFE
434,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4111,Electrical Engineering,SAFE
435,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4111,Electrical Engineering,Out
436,Safety-tail,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",4111,Electrical Engineering,SAFE
437,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4148,Instrumentation and Control Engineering,SAFE
438,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4125,Mechanical Engineering,SAFE
439,Safety-tail,NIT,National Institute of Technology Delhi,4125,Mechanical Engineering,Borderline
440,Safety-tail,NIT,National Institute of Technology Goa,4125,Mechanical Engineering,SAFE
441,Safety-tail,NIT,National Institute of Technology Hamirpur,4125,Mechanical Engineering,SAFE
442,Safety-tail,NIT,National Institute of Technology Puducherry,4125,Mechanical Engineering,SAFE
443,Safety-tail,NIT,National Institute of Technology Raipur,4125,Mechanical Engineering,Borderline
444,Safety-tail,NIT,"National Institute of Technology, Andhra Pradesh",4125,Mechanical Engineering,SAFE
445,Safety-tail,NIT,"National Institute of Technology, Srinagar",4125,Mechanical Engineering,SAFE
446,Safety-tail,NIT,"National Institute of Technology, Uttarakhand",4125,Mechanical Engineering,Out
447,Safety-tail,NIT,National Institute of Technology Agartala,4114,Electronics and Communication Engineering,Good
448,Safety-tail,NIT,National Institute of Technology Arunachal Pradesh,4114,Electronics and Communication Engineering,SAFE
449,Safety-tail,NIT,National Institute of Technology Sikkim,4114,Electronics and Communication Engineering,SAFE
450,Safety-tail,NIT,"National Institute of Technology, Manipur",4114,Electronics and Communication Engineering,SAFE
451,Safety-tail,NIT,"National Institute of Technology, Manipur",5234,Electronics and Communication Engineering,No-data
452,Safety-tail,NIT,"National Institute of Technology, Mizoram",4114,Electronics and Communication Engineering,SAFE
453,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4149,Industrial and Production Engineering,SAFE
454,Safety-tail,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",5233,Mechanical Engineering,SAFE
455,Safety-tail,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4175,Mechanical Engineering with specialization in Design and Manufacturing,SAFE
456,Safety-tail,NIT,National Institute of Technology Agartala,4142,Electronics and Instrumentation Engineering,SAFE
457,Safety-tail,NIT,National Institute of Technology Agartala,4111,Electrical Engineering,SAFE
458,Safety-tail,NIT,National Institute of Technology Arunachal Pradesh,4111,Electrical Engineering,SAFE
459,Safety-tail,NIT,National Institute of Technology Sikkim,4144,Electrical and Electronics Engineering,SAFE
460,Safety-tail,NIT,"National Institute of Technology, Manipur",4111,Electrical Engineering,SAFE
461,Safety-tail,NIT,"National Institute of Technology, Manipur",5217,Electrical Engineering,No-data
462,Safety-tail,NIT,"National Institute of Technology, Mizoram",4111,Electrical Engineering,SAFE
463,Safety-tail,GFTI,"Central institute of Technology Kokrajar, Assam",4121,Instrumentation Engineering,Out
464,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,4148,Instrumentation and Control Engineering,Out
465,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4107,Chemical Engineering,SAFE
466,Safety-tail,NIT,National Institute of Technology Hamirpur,4107,Chemical Engineering,SAFE
467,Safety-tail,NIT,National Institute of Technology Raipur,4107,Chemical Engineering,SAFE
468,Safety-tail,NIT,"National Institute of Technology, Andhra Pradesh",4107,Chemical Engineering,SAFE
469,Safety-tail,NIT,"National Institute of Technology, Srinagar",4107,Chemical Engineering,SAFE
470,Safety-tail,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",4125,Mechanical Engineering,SAFE
471,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4125,Mechanical Engineering,SAFE
472,Safety-tail,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",411T,B.Tech in Mechanical Engineering ( Rail  Engineering),Out
473,Safety-tail,GFTI,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",4125,Mechanical Engineering,No-data
474,Safety-tail,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",4125,Mechanical Engineering,SAFE
475,Safety-tail,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",4125,Mechanical Engineering,SAFE
476,Safety-tail,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",4125,Mechanical Engineering,SAFE
477,Safety-tail,GFTI,National Institute of Technical Teachers Training and Research Bhopal,4125,Mechanical Engineering,No-data
478,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4125,Mechanical Engineering,SAFE
479,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,4125,Mechanical Engineering,Out
480,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,5233,Mechanical Engineering,Out
481,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",5422,B.Tech. (Mechanical Engineering) - MBA,Out
482,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",4125,Mechanical Engineering,SAFE
483,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4125,Mechanical Engineering,Out
484,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4125,Mechanical Engineering,Out
485,Safety-tail,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",4125,Mechanical Engineering,SAFE
486,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4109,Civil Engineering,Borderline
487,Safety-tail,NIT,National Institute of Technology Delhi,4109,Civil Engineering,Good
488,Safety-tail,NIT,National Institute of Technology Goa,4109,Civil Engineering,Good
489,Safety-tail,NIT,National Institute of Technology Hamirpur,4109,Civil Engineering,SAFE
490,Safety-tail,NIT,National Institute of Technology Puducherry,4109,Civil Engineering,Reach
491,Safety-tail,NIT,National Institute of Technology Raipur,4109,Civil Engineering,SAFE
492,Safety-tail,NIT,"National Institute of Technology, Andhra Pradesh",4109,Civil Engineering,Good
493,Safety-tail,NIT,"National Institute of Technology, Srinagar",4109,Civil Engineering,SAFE
494,Safety-tail,NIT,"National Institute of Technology, Uttarakhand",4109,Civil Engineering,Good
495,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4136,Production and Industrial Engineering,SAFE
496,Safety-tail,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",4136,Production and Industrial Engineering,SAFE
497,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4149,Industrial and Production Engineering,Out
498,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4149,Industrial and Production Engineering,Out
499,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4107,Chemical Engineering,SAFE
500,Safety-tail,GFTI,"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar",5D01,Chemical Engineering,SAFE
501,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4107,Chemical Engineering,SAFE
502,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,4107,Chemical Engineering,Out
503,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,5210,Chemical Engineering,No-data
504,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4107,Chemical Engineering,SAFE
505,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4139,Textile Technology,SAFE
506,Safety-tail,NIT,National Institute of Technology Delhi,4101,Aerospace Engineering,Out
507,Safety-tail,NIT,National Institute of Technology Delhi,411Z,VLSI Design and Technology,Out
508,Safety-tail,NIT,National Institute of Technology Hamirpur,4123,Materials Science and Engineering,SAFE
509,Safety-tail,NIT,National Institute of Technology Raipur,4127,Metallurgical and Materials Engineering,SAFE
510,Safety-tail,NIT,"National Institute of Technology, Andhra Pradesh",4127,Metallurgical and Materials Engineering,Out
511,Safety-tail,NIT,"National Institute of Technology, Srinagar",4127,Metallurgical and Materials Engineering,SAFE
512,Safety-tail,NIT,National Institute of Technology Agartala,4125,Mechanical Engineering,SAFE
513,Safety-tail,NIT,National Institute of Technology Arunachal Pradesh,4125,Mechanical Engineering,SAFE
514,Safety-tail,NIT,National Institute of Technology Sikkim,4125,Mechanical Engineering,Out
515,Safety-tail,NIT,"National Institute of Technology, Manipur",4125,Mechanical Engineering,SAFE
516,Safety-tail,NIT,"National Institute of Technology, Manipur",5233,Mechanical Engineering,No-data
