"url","title","channel","publishedAt","views","likes","comments","duration","theme","query"
"https://www.youtube.com/watch?v=kl3gymfN2WM","JOSAA Counselling Mock Seat Allocation Latest Update✅ | Mock Seat Allotment Josaa 2026 #josaa #csab","We Won Academy","2026-06-05T04:00:15Z","3244","57","15","PT5M59S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=EH8-o9VYUQE","🚨 JoSAA 2026 Mock Allotment Out! Verify Choice Filling Before Final Locking","Udaan Vidyapeeth","2026-06-07T11:47:28Z","2759","57","12","PT13M46S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=573ep6jg9c4","Urgent🔴 Update Regarding Josaa Mock Allotment","CareerConnect Services","2022-09-18T08:48:49Z","2278","44","14","PT2M37S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=lsRCDkV60J4","JOSAA Mock Seat Allocation 2026 | JOSAA Counselling Procedure 2026 | Mock Seat Allocation Round 1, 2","V2 Academy - Manish Verma","2026-06-07T13:51:47Z","1827","43","3","PT4M55S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=vozTEmdS1pU","😱JOSAA 2026 Total Registration!Mock Seat Allotment 1 Cutoffs?JOSAA 2026 ROUND 1 Cutoffs?Low Cutoffs ","College knowledge Jee","2026-06-06T06:20:04Z","1795","0","11","PT8M20S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=fgS0OPOcaw0","🚨 JoSAA Mock Seat Allotment JOSAA COUNSELLING 2026 Explained | Don't Make These Counselling Mistakes","Counselify","2026-06-06T03:15:12Z","1791","0","14","PT7M54S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=3ASE0mA2t8Y","JoSAA 2026 Mock Allotment మిస్ అవకండి! Choices Fill Before June 7, 8 PM || NANO myClassroom","NANO JUNIOR COLLEGE & ACADEMY","2026-06-07T03:30:35Z","1629","49","0","PT1M54S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=qMknc3QpKCo","🚨 JoSAA Mock Seat Allotment 2026 Explained | JOSAA counselling 2026 Mock Seat Allotment","Counselify","2026-06-06T05:30:20Z","1613","0","1","PT48S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=J6VqQo-6Ewo","JOSAA Mock Allotment Result | Round 2 allotment update | #Counselling #Josaa #Cutoff #Mock #JEE_2021","Information & Educational Videos","2021-10-24T08:10:37Z","1513","37","11","PT1M25S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=yBzoALLDD70","Josaa counseling 2022 Mock allotment Details | Use of mock allotment #cutoff #Mock #allotment #Josaa","Information & Educational Videos","2022-09-15T03:30:10Z","1170","40","2","PT3M1S","choice_filling","JoSAA mock allotment"
